,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
0,2017,서울특별시,종로구,주택용,23169895,23301110,20300534,20407637,19089589,20354296,24321487,28282719,22610045,19399001,20272764,22660419
1,2017,서울특별시,종로구,일반용,114479950,114070828,100039519,90575982,88768226,100809931,119321846,126258722,107746249,86180428,92208251,113953493
2,2017,서울특별시,종로구,교육용,9181588,9449469,7912165,7358196,6445041,7960111,9253599,9210356,8655619,6773748,7442262,10418970
3,2017,서울특별시,종로구,산업용,6376869,6974477,7002117,6711586,5752594,6329732,6777442,6857180,6882655,5297827,5928824,6887362
4,2017,서울특별시,종로구,농사용,9559,8557,6449,6219,3004,2927,2443,1858,1931,2173,2713,7163
5,2017,서울특별시,종로구,가로등,1088016,1004320,895758,878659,805150,782323,750114,786800,832161,890884,958023,1000707
6,2017,서울특별시,종로구,심 야,3909992,4200810,3289544,2744252,3209479,4491348,6613642,6261534,4107889,2195262,2003792,3397070
7,2017,서울특별시,종로구,합 계,158215869,159009571,139446086,128682531,124073083,140730668,167040573,177659169,150836549,120739323,128816629,158325184
8,2017,서울특별시,중구,주택용,16934220,17184745,15029349,15208660,14188606,14889441,18228790,21278320,16670132,14382599,15138140,16876173
9,2017,서울특별시,중구,일반용,171537176,167842697,152932140,139654237,142113200,161894119,191028784,196643305,170385765,135955117,143767493,172256050
10,2017,서울특별시,중구,교육용,4983302,4906810,4320049,3228309,2885820,3535420,4083480,3822889,3673120,2664620,4122891,6131261
11,2017,서울특별시,중구,산업용,22542651,22823144,21507013,19816191,17367061,19052823,21515421,22604954,22270723,17102963,18730907,22578226
12,2017,서울특별시,중구,가로등,1425764,1408351,1276241,1302025,1221607,1251049,1164057,1216788,1234789,1243902,1319818,1300715
13,2017,서울특별시,중구,심 야,928292,908512,878573,1572147,4615142,7521808,10771874,10851330,7702963,2918823,628745,754863
14,2017,서울특별시,중구,합 계,218351405,215074259,195943365,180781569,182391436,208144660,246792406,256417586,221937492,174268024,183707994,219897288
15,2017,서울특별시,용산구,주택용,34709919,35240206,30295787,31075453,28992256,30783984,37845700,45561885,34988036,29473487,30724538,33851326
