시군구별 용도업종별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,업종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2017,서울특별시,종로구,농업. 임업,"15,496","14,827","10,390","9,234","5,606","5,834","5,767","6,704","5,804","4,906","7,008","13,542",
2017,서울특별시,종로구,금속비금속,"62,266","62,917","53,880","47,954","36,452","45,651","51,920","52,223","54,893","36,966","45,410","60,170",
2017,서울특별시,종로구,식료품제조,"186,338","186,394","160,120","166,152","167,695","179,920","186,622","202,772","201,433","188,674","181,321","193,754",
2017,서울특별시,종로구,음료품제조,973,-,-,-,-,-,-,-,-,-,-,-,
2017,서울특별시,종로구,섬      유,"359,000","401,117","424,674","400,163","336,257","369,038","393,818","399,222","372,999","276,593","301,756","349,584",
2017,서울특별시,종로구,의복. 모피,"2,326,843","2,780,186","3,102,846","3,127,915","2,769,650","2,952,657","3,012,054","3,042,000","3,174,435","2,479,428","2,680,063","2,803,293",
2017,서울특별시,종로구,가죽. 신발,"21,509","23,163","22,523","14,187","10,328","10,762","12,258","14,487","12,297","9,899","12,826","21,363",
2017,서울특별시,종로구,목재. 나무,"17,109","17,559","15,604","13,351","9,032","10,682","12,565","13,401","14,509","10,718","11,907","20,052",
2017,서울특별시,종로구,펄프. 종이,"40,612","45,343","36,305","28,043","19,535","22,751","31,298","36,516","30,218","21,368","25,066","40,674",
2017,서울특별시,종로구,출판. 인쇄,"405,513","438,005","428,281","367,932","322,178","372,980","411,734","428,045","391,156","274,551","343,127","415,050",
2017,서울특별시,종로구,화학  제품,"65,433","68,109","66,104","59,539","42,953","42,685","47,175","54,124","51,629","37,851","42,506","58,280",
2017,서울특별시,종로구,고무. 플라,"96,689","108,506","119,949","116,886","104,842","116,454","123,489","125,698","115,433","99,780","107,038","115,975",
2017,서울특별시,종로구,유      리,"13,146","14,561","12,514","9,626","5,828","6,649","7,889","9,013","8,258","5,565","6,601","12,303",
2017,서울특별시,종로구,시  멘  트,"12,943","15,389","11,526","10,098","6,260","6,924","6,508","9,159","7,079","6,204","11,766","16,186",
2017,서울특별시,종로구,1차   금속,"69,116","72,709","65,431","58,432","43,593","64,404","63,452","62,755","63,159","39,760","49,779","66,038",
2017,서울특별시,종로구,조립  금속,"186,709","191,563","169,684","145,456","105,866","119,608","142,623","147,159","143,813","95,229","118,841","175,152",
2017,서울특별시,종로구,기타  기계,"112,187","119,278","108,555","95,055","75,932","87,764","98,827","102,494","96,861","71,426","81,282","116,393",
2017,서울특별시,종로구,전기  기기,"36,079","39,043","33,106","25,612","15,133","14,579","19,910","23,260","17,965","12,805","15,794","31,179",
2017,서울특별시,종로구,영상. 음향,"9,451","8,226","8,435","8,364","7,831","5,977","7,082","8,012","6,480","4,600","5,287","8,448",
2017,서울특별시,종로구,의료. 광학,"68,318","83,333","72,932","62,621","45,867","41,408","63,865","74,902","65,853","48,086","49,060","75,195",
2017,서울특별시,종로구,자  동  차,"1,226","1,827","2,050","2,076","1,660","1,279",992,"1,275",920,771,"1,467","1,744",
2017,서울특별시,종로구,기타  운송,"5,379","5,361","5,390","5,489","5,250","5,368","5,483","5,987","6,455","7,210","7,479","8,189",
2017,서울특별시,종로구,가구및기타,"1,801,787","1,819,930","1,644,838","1,480,419","1,181,688","1,393,009","1,615,664","1,580,791","1,595,705","1,120,438","1,379,248","1,839,276",
2017,서울특별시,종로구,수      도,"217,411","223,028","192,783","215,387","213,277","231,026","224,490","218,467","218,211","206,265","214,182","209,519",
2017,서울특별시,종로구,사업자  용,"253,565","260,390","218,577","222,798","240,005","255,915","307,997","377,408","280,789","242,830","255,032","231,681",
2017,서울특별시,종로구,가정용부문,"21,897,578","22,003,455","19,150,005","19,333,566","18,190,021","19,417,657","23,238,462","27,015,093","21,520,198","18,493,767","19,267,116","21,361,166",
2017,서울특별시,종로구,국  군  용,"450,843","502,836","371,400","297,472","239,823","258,097","277,371","300,562","239,794","212,452","247,304","389,452",
2017,서울특별시,종로구,기타공공용,"9,423,141","9,672,650","8,361,830","7,836,483","6,813,277","8,124,832","9,213,424","9,108,781","8,767,873","7,045,581","7,798,114","10,553,732",
2017,서울특별시,종로구,관  공  용,"7,707,889","7,876,972","6,490,183","6,240,013","6,116,205","7,441,243","9,205,876","9,889,573","7,818,657","6,272,082","6,306,976","7,580,797",
2017,서울특별시,종로구,순수써비스,"112,351,320","111,952,894","98,086,171","88,282,208","86,941,039","99,125,515","118,251,958","124,349,286","105,553,673","83,413,518","89,243,273","111,556,997",
2017,서울특별시,종로구,합 계,"158,215,869","159,009,571","139,446,086","128,682,531","124,073,083","140,730,668","167,040,573","177,659,169","150,836,549","120,739,323","128,816,629","158,325,184",
2017,서울특별시,중구,농업. 임업,"4,575","5,715","3,901","2,147","1,114","1,321","1,949","2,562","2,088","1,214","1,132","2,203",
2017,서울특별시,중구,석탄. 원유,-,-,-,-,-,"3,466",-,-,-,-,-,-,
2017,서울특별시,중구,금속비금속,"21,665","22,599","17,883","15,938","11,074","11,914","15,514","15,897","14,825","11,921","14,279","20,183",
2017,서울특별시,중구,식료품제조,"313,634","311,117","267,609","282,419","275,150","290,945","310,554","335,507","340,956","306,992","297,849","289,821",
2017,서울특별시,중구,섬      유,"557,890","618,099","637,846","580,191","522,429","554,944","585,183","643,594","632,914","463,621","487,535","563,287",
2017,서울특별시,중구,의복. 모피,"2,848,621","3,339,697","3,612,878","3,493,132","3,092,771","3,227,695","3,313,290","3,620,590","3,756,571","2,889,345","2,899,398","3,112,125",
2017,서울특별시,중구,가죽. 신발,"81,573","88,626","92,808","80,893","62,560","61,017","66,856","81,448","69,970","59,052","53,499","80,685",
2017,서울특별시,중구,목재. 나무,"74,868","71,302","59,955","54,280","45,267","51,798","57,880","59,803","65,135","49,531","61,057","78,063",
2017,서울특별시,중구,펄프. 종이,"1,929,034","1,930,287","1,673,994","1,519,240","1,222,316","1,475,513","1,718,250","1,764,971","1,800,294","1,271,628","1,530,405","1,930,446",
2017,서울특별시,중구,출판. 인쇄,"12,260,304","11,923,337","10,985,110","9,819,052","8,462,505","9,564,039","11,328,370","11,746,540","11,316,737","8,421,121","9,538,512","11,986,437",
2017,서울특별시,중구,석유  정제,"1,854","1,779","1,366","1,608","1,784","1,784","1,888","2,354","2,167","2,430","1,716","1,516",
2017,서울특별시,중구,화학  제품,"254,782","266,995","256,138","227,970","186,343","193,588","222,355","238,289","228,648","171,663","192,080","236,629",
2017,서울특별시,중구,고무. 플라,"263,520","297,101","275,673","252,352","202,857","220,443","256,550","260,771","272,568","205,996","216,976","259,004",
2017,서울특별시,중구,유      리,"12,542","16,320","18,066","17,018","11,826","12,970","14,314","16,485","16,208","12,557","13,987","23,533",
2017,서울특별시,중구,시  멘  트,"14,002","15,099","14,884","12,559","7,517","8,921","10,923","9,342","11,756","8,944","11,197","14,283",
2017,서울특별시,중구,1차   금속,"101,889","101,997","90,989","78,120","59,894","70,595","64,476","70,931","69,627","59,592","65,764","91,316",
2017,서울특별시,중구,조립  금속,"225,668","231,996","215,551","180,508","135,272","130,254","152,800","172,236","160,430","125,746","129,281","203,513",
2017,서울특별시,중구,기타  기계,"329,543","330,452","296,694","254,151","189,096","195,072","245,534","242,780","226,786","157,803","169,200","267,174",
2017,서울특별시,중구,사무  기기,"10,957","10,764","9,183","19,670","25,264","30,925","30,282","28,064","31,954","31,750","29,925","10,794",
2017,서울특별시,중구,전기  기기,"42,286","40,339","34,593","27,640","18,734","32,588","25,081","29,459","23,252","15,463","22,259","38,652",
2017,서울특별시,중구,영상. 음향,"57,770","61,136","52,130","54,720","41,257","49,536","54,694","53,431","55,660","41,434","48,901","62,462",
2017,서울특별시,중구,의료. 광학,"58,486","62,321","52,748","42,213","29,065","22,502","43,059","47,645","41,335","27,349","34,550","52,474",
2017,서울특별시,중구,자  동  차,-,-,-,-,-,-,402,629,897,845,544,829,
2017,서울특별시,중구,기타  운송,"39,600","39,200","36,617","38,615","37,483","39,492","39,436","40,254","40,166","38,560","39,573","52,923",
2017,서울특별시,중구,가구및기타,"1,268,232","1,290,865","1,169,766","1,085,410","992,472","1,030,418","1,157,656","1,181,274","1,139,473","999,784","1,102,865","1,307,589",
2017,서울특별시,중구,수      도,"27,873","25,665","24,513","23,094","25,668","26,689","26,475","25,025","28,331","26,330","26,054","26,052",
2017,서울특별시,중구,사업자  용,"810,044","857,210","715,384","736,527","718,639","912,302","995,922","1,058,130","957,159","783,033","848,472","835,662",
2017,서울특별시,중구,가정용부문,"16,324,554","16,435,905","14,394,881","14,536,595","13,668,165","14,400,369","17,694,307","20,629,249","16,071,308","13,868,758","14,597,856","16,196,095",
2017,서울특별시,중구,국  군  용,"34,861","43,317","35,913","24,506","13,723","13,915","17,498","20,852","16,479","11,793","13,680","33,440",
2017,서울특별시,중구,유엔군  용,"199,934","216,256","180,854","163,298","143,098","168,748","213,750","237,528","191,236","145,982","155,894","183,308",
2017,서울특별시,중구,기타공공용,"5,035,400","4,889,435","4,368,951","3,223,405","2,732,785","3,334,166","3,830,395","3,608,868","3,522,412","2,584,930","4,059,694","6,189,367",
2017,서울특별시,중구,관  공  용,"5,838,663","5,899,841","4,930,202","4,477,103","4,289,382","4,830,540","5,720,748","6,063,918","5,228,891","4,216,509","4,714,016","5,739,520",
2017,서울특별시,중구,순수써비스,"169,306,781","165,629,487","151,416,285","139,457,195","145,165,926","167,176,191","198,576,015","204,109,160","175,601,259","137,256,348","142,329,844","170,007,903",
2017,서울특별시,중구,합 계,"218,351,405","215,074,259","195,943,365","180,781,569","182,391,436","208,144,660","246,792,406","256,417,586","221,937,492","174,268,024","183,707,994","219,897,288",
2017,서울특별시,용산구,농업. 임업,"4,122","4,360","3,106","2,919","1,825","1,349",778,719,"1,248","1,271","1,619",932,
2017,서울특별시,용산구,금속비금속,"4,106","3,409","3,700","5,362","5,628","7,784",-,-,-,-,-,-,
2017,서울특별시,용산구,식료품제조,"287,432","291,198","247,405","269,292","270,295","289,763","291,269","323,108","310,397","263,527","248,801","202,646",
2017,서울특별시,용산구,음료품제조,-,-,-,-,-,-,"9,849","9,666","8,670","6,164","4,904","3,315",
2017,서울특별시,용산구,섬      유,"94,990","109,884","105,104","97,741","87,231","92,151","94,867","94,002","105,521","76,016","89,424","93,357",
2017,서울특별시,용산구,의복. 모피,"790,510","940,823","1,003,960","944,360","859,513","913,231","893,092","884,192","1,015,033","703,156","779,022","808,386",
2017,서울특별시,용산구,가죽. 신발,"12,362","14,198","11,947","11,157","10,091","9,609","8,018","9,212","10,120","8,771","12,233","15,603",
2017,서울특별시,용산구,목재. 나무,"4,783","4,372","4,067","2,895","2,270","2,186","3,593","3,856","3,228","2,525","3,737","6,244",
2017,서울특별시,용산구,펄프. 종이,"37,208","40,374","32,285","24,649","17,660","18,759","23,196","26,925","22,083","17,309","18,996","31,393",
2017,서울특별시,용산구,출판. 인쇄,"421,513","437,286","407,652","349,857","290,441","307,226","333,258","380,066","411,102","282,619","312,633","405,527",
2017,서울특별시,용산구,화학  제품,"15,054","15,468","14,570","12,773","11,725","9,220","8,851","10,606","8,270","7,474","8,896","11,817",
2017,서울특별시,용산구,고무. 플라,"51,692","51,686","45,041","37,200","32,056","38,706","44,891","38,794","38,482","28,354","38,318","45,989",
2017,서울특별시,용산구,유      리,374,458,498,228,604,317,446,469,576,221,633,681,
2017,서울특별시,용산구,시  멘  트,314,504,616,"1,390",919,"1,077",868,"1,208","1,056",856,792,"1,403",
2017,서울특별시,용산구,1차   금속,"7,171","8,122","7,501","4,499","2,594","8,183","2,605","3,260","2,687","2,618","2,601","5,675",
2017,서울특별시,용산구,조립  금속,"44,056","43,017","37,065","31,452","33,644","28,783","30,981","34,312","31,995","25,010","34,175","48,106",
2017,서울특별시,용산구,기타  기계,"38,233","36,668","33,267","33,302","24,947","25,864","28,664","32,097","30,769","24,064","25,720","38,584",
2017,서울특별시,용산구,사무  기기,"11,877","11,027","7,463","5,493","3,141","3,832","5,779","7,371","2,424","1,794","4,289","8,661",
2017,서울특별시,용산구,전기  기기,"44,815","40,866","36,746","36,625","34,076","37,064","39,497","37,718","35,719","36,375","2,850","4,750",
2017,서울특별시,용산구,영상. 음향,"29,147","28,385","21,972","19,704","15,534","16,899","21,871","23,106","19,050","14,300","15,516","23,911",
2017,서울특별시,용산구,의료. 광학,"55,981","55,467","45,641","37,893","26,835","22,970","39,344","45,789","33,236","22,963","32,750","53,513",
