시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2019,서울특별시,종로구,주택용,"24,160,644","22,883,203","20,039,084","20,570,833","19,156,656","20,278,012","22,919,604","29,492,782","24,800,305","20,050,769","20,033,320","21,855,205",
2019,서울특별시,종로구,일반용,"120,079,512","110,317,701","93,294,299","93,421,543","90,325,483","98,303,377","113,573,453","126,148,808","110,010,554","93,117,616","90,242,284","106,536,361",
2019,서울특별시,종로구,교육용,"10,204,144","9,435,056","7,662,196","7,881,974","6,729,563","7,825,646","8,631,354","9,303,561","9,002,269","7,322,515","7,300,834","9,780,051",
2019,서울특별시,종로구,산업용,"6,683,559","6,900,078","6,731,342","7,095,902","6,192,349","6,372,283","6,403,721","6,859,148","7,011,859","5,961,664","5,682,268","6,223,492",
2019,서울특별시,종로구,농사용,"7,065","5,975","4,408","4,559",985,754,673,840,741,621,592,"3,358",
2019,서울특별시,종로구,가로등,"967,289","903,251","806,613","781,255","722,932","690,946","675,771","719,371","766,706","821,055","884,689","903,978",
2019,서울특별시,종로구,심 야,"3,402,691","3,309,109","2,560,001","2,537,831","3,679,705","4,575,840","6,706,887","7,278,249","5,152,981","2,728,773","1,624,591","2,514,482",
2019,서울특별시,종로구,합 계,"165,504,904","153,754,373","131,097,943","132,293,897","126,807,673","138,046,858","158,911,463","179,802,759","156,745,415","130,003,013","125,768,578","147,816,927",
2019,서울특별시,중구,주택용,"18,269,580","17,405,995","15,489,286","15,777,584","14,807,554","15,575,820","18,019,224","23,644,013","19,055,601","15,471,155","15,545,799","16,881,565",
2019,서울특별시,중구,일반용,"175,676,915","155,303,536","142,744,147","139,768,466","143,622,802","155,740,571","180,950,296","195,442,075","169,226,729","145,909,014","137,584,788","160,342,078",
2019,서울특별시,중구,교육용,"5,743,430","4,900,080","4,059,109","3,603,066","3,218,172","3,671,755","4,117,691","4,202,536","4,041,732","3,210,968","3,823,356","5,387,466",
2019,서울특별시,중구,산업용,"23,072,688","21,361,563","19,673,608","19,882,937","17,779,047","18,331,937","20,212,906","21,621,474","21,208,355","18,116,012","17,657,562","20,284,444",
2019,서울특별시,중구,가로등,"1,273,112","1,232,960","1,119,744","1,162,897","1,104,885","1,087,544","1,057,320","1,071,704","1,111,441","1,093,311","1,097,236","1,049,859",
2019,서울특별시,중구,심 야,"815,802","739,925","675,348","1,212,768","4,917,079","7,238,370","10,221,491","11,066,358","7,930,386","3,852,485","629,216","536,130",
2019,서울특별시,중구,합 계,"224,851,527","200,944,059","183,761,242","181,407,718","185,449,539","201,645,997","234,578,928","257,048,160","222,574,244","187,652,945","176,337,957","204,481,542",
2019,서울특별시,용산구,주택용,"36,269,359","35,027,115","30,074,298","31,469,635","29,299,846","31,232,313","35,267,166","48,257,978","40,088,015","31,091,043","31,035,173","33,553,231",
2019,서울특별시,용산구,일반용,"76,838,479","70,287,681","59,415,999","58,412,654","56,754,041","63,665,421","73,014,545","82,792,452","72,425,216","59,281,302","55,965,172","65,694,352",
2019,서울특별시,용산구,교육용,"5,734,027","5,144,223","4,348,446","4,348,891","3,743,529","4,359,701","4,865,693","4,969,657","5,153,329","4,203,029","4,063,086","5,513,850",
2019,서울특별시,용산구,산업용,"9,336,251","9,277,674","8,244,793","8,441,339","8,010,614","8,365,707","9,241,748","10,606,083","9,951,589","8,675,619","8,349,849","8,640,639",
2019,서울특별시,용산구,가로등,"1,354,798","1,263,044","1,131,974","1,136,382","1,046,581","978,661","945,950","1,011,270","1,077,700","1,149,498","1,222,874","1,263,315",
2019,서울특별시,용산구,심 야,"930,690","860,669","702,982","770,425","1,303,912","1,834,765","2,940,410","3,299,837","2,177,517","1,363,540","732,594","673,334",
2019,서울특별시,용산구,합 계,"130,463,604","121,860,406","103,918,492","104,579,326","100,158,523","110,436,568","126,275,512","150,937,277","130,873,366","105,764,031","101,368,748","115,338,721",
2019,서울특별시,성동구,주택용,"39,923,901","39,009,220","33,725,648","35,320,307","32,687,794","33,875,708","36,737,367","49,235,340","45,035,948","34,246,959","33,666,077","35,613,041",
2019,서울특별시,성동구,일반용,"70,175,235","63,858,220","55,113,145","53,418,389","51,018,351","55,874,162","63,879,845","72,406,482","64,013,954","53,815,502","52,200,979","62,596,354",
2019,서울특별시,성동구,교육용,"8,010,677","6,696,903","6,376,709","5,959,345","5,625,701","6,201,315","7,151,964","7,222,114","6,758,918","5,591,363","5,681,965","7,517,987",
2019,서울특별시,성동구,산업용,"81,594,683","77,937,056","70,944,938","74,591,458","71,599,756","73,549,388","77,210,827","87,840,372","80,082,123","72,784,099","72,108,236","75,902,699",
2019,서울특별시,성동구,농사용,121,31,23,33,"2,795","5,951","5,971","6,825","6,715","5,951","5,754","4,981",
2019,서울특별시,성동구,가로등,"1,124,073","1,056,708","981,937","916,931","866,127","831,950","809,459","810,662","875,866","934,514","986,294","1,057,868",
2019,서울특별시,성동구,심 야,"576,711","580,985","424,634","318,867","233,895","224,541","326,487","442,457","346,481","179,196","169,447","389,915",
2019,서울특별시,성동구,합 계,"201,405,401","189,139,123","167,567,034","170,525,330","162,034,419","170,563,015","186,121,920","217,964,252","197,120,005","167,557,584","164,818,752","183,082,845",
2019,서울특별시,동대문구,주택용,"45,402,639","43,911,547","38,365,133","39,870,870","36,708,144","38,600,079","42,127,990","55,793,928","49,684,157","39,006,695","38,786,458","41,403,878",
2019,서울특별시,동대문구,일반용,"62,833,313","58,955,696","49,281,187","47,827,804","44,148,116","49,167,638","55,324,559","64,470,033","58,446,187","46,995,530","44,388,706","53,151,028",
2019,서울특별시,동대문구,교육용,"9,613,062","8,128,446","7,276,150","6,983,117","6,065,713","6,658,281","7,487,430","7,722,492","6,828,737","6,895,928","6,384,333","8,899,724",
2019,서울특별시,동대문구,산업용,"16,001,389","15,668,381","13,667,112","14,148,314","13,183,740","13,902,049","15,576,757","17,727,902","16,784,881","13,594,266","13,356,017","14,396,001",
2019,서울특별시,동대문구,농사용,"14,844","14,007","9,409","7,741","5,595","3,969","3,627","3,977","3,715","5,116","7,329","11,343",
2019,서울특별시,동대문구,가로등,"1,062,222","979,497","929,825","847,342","768,012","723,621","724,549","742,034","817,225","907,339","969,146","1,038,782",
2019,서울특별시,동대문구,심 야,"773,952","727,096","558,819","453,691","480,433","503,622","685,676","752,567","517,852","260,284","259,724","510,156",
2019,서울특별시,동대문구,합 계,"135,701,421","128,384,670","110,087,635","110,138,879","101,359,753","109,559,259","121,930,588","147,212,933","133,082,754","107,665,158","104,151,713","119,410,912",
2019,서울특별시,성북구,주택용,"53,203,298","52,444,717","45,731,953","48,236,038","44,692,683","45,748,554","48,493,013","64,692,633","58,957,978","46,786,868","46,791,804","49,457,290",
2019,서울특별시,성북구,일반용,"52,895,676","49,833,640","41,525,423","40,597,225","37,611,671","41,342,870","46,000,848","53,912,348","49,454,946","40,260,085","38,209,250","44,774,285",
2019,서울특별시,성북구,교육용,"17,239,271","15,092,035","13,142,583","13,129,927","11,601,325","13,267,771","14,380,287","15,060,624","14,543,545","12,238,765","13,004,360","16,993,357",
2019,서울특별시,성북구,산업용,"8,965,816","8,548,601","8,154,594","8,335,310","8,106,082","8,503,483","8,948,376","9,517,925","8,911,118","7,951,264","7,876,640","8,488,486",
2019,서울특별시,성북구,농사용,"3,919","3,791","3,053","4,769","5,068","5,123","5,019","5,749","5,641","5,025","4,107","3,705",
2019,서울특별시,성북구,가로등,"1,350,613","1,251,094","1,183,562","1,102,232","1,028,793","963,968","960,202","1,001,654","1,092,833","1,296,112","1,344,876","1,304,373",
2019,서울특별시,성북구,심 야,"2,606,711","2,448,753","1,863,706","1,578,300","1,049,732","891,607","994,825","1,062,507","783,270","610,413","1,029,594","1,893,778",
2019,서울특별시,성북구,합 계,"136,265,304","129,622,631","111,604,874","112,983,801","104,095,354","110,723,376","119,782,570","145,253,440","133,749,331","109,148,532","108,260,631","122,915,274",
2019,서울특별시,도봉구,주택용,"38,715,762","37,993,003","32,712,674","34,485,681","31,814,321","32,384,545","35,197,074","46,798,976","38,870,876","32,053,366","33,562,620","35,437,198",
2019,서울특별시,도봉구,일반용,"34,374,766","32,090,202","26,364,099","25,922,067","24,183,314","26,763,934","30,279,871","35,559,899","31,996,408","25,889,992","24,935,498","29,541,225",
2019,서울특별시,도봉구,교육용,"4,248,343","3,659,154","2,948,421","2,922,819","1,885,126","2,012,216","2,397,605","2,201,032","2,451,787","1,986,825","2,065,814","3,770,245",
2019,서울특별시,도봉구,산업용,"5,558,068","5,245,595","4,743,617","5,009,628","4,689,982","4,857,279","5,130,191","5,595,162","5,475,890","4,738,613","4,854,895","4,989,411",
