지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),소형총증발량(mm),대형총증발량(mm),평균풍속(m/s),최대풍속(m/s),평균운량(1/10),평균중하층운량(1/10),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),평균 최저초상온도(°C),평균지면온도(°C),0.5m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C)
90,속초,2015-11,8.4,11.5,5.5,21.7,-3.2,1021.5,1023.8,8.4,74,463.5,67.5,,,2,8.1,,,32.4,,,,4.1,9.4,,,
90,속초,2015-12,3,6.8,-1,10.9,-7.2,1021.1,1023.4,4.3,53,1.7,1.3,,,1.8,8.2,,,55.65,,,,-3.9,2.9,,,
90,속초,2016-01,-1.2,2.7,-5.3,11.5,-16.4,1019.7,1022,2.6,43,6.6,3.7,,,2.4,8.7,,,69.39,,,,-8.2,-.4,,,
90,속초,2016-02,.8,4.3,-3,10.3,-9.4,1019.7,1022,3.6,55,38.3,13.4,,,2.1,8.8,,,63.23,,,,-5.9,1.1,,,
90,속초,2016-03,7,11.4,2.4,21.5,-7.6,1017.9,1020.2,5.6,58,31.8,18.2,,,1.9,8.8,,,56.44,,,,-1,7.2,,,
90,속초,2016-04,12.6,17.8,7.6,29.3,3.6,1010.6,1012.8,9.1,66,77.5,32.3,,,2.3,10.4,,,56.22,,,,4.5,14.5,,,
90,속초,2016-05,17.2,22.6,12.5,29,7.3,1008.1,1010.2,12.5,67,35.7,20.5,,,2.2,10.7,,,59.06,,,,9.6,21.2,,,
90,속초,2016-06,20.6,24.3,17.5,30.5,12.6,1005.5,1007.6,19.4,82,62.2,30.9,,,1.8,8.8,,,39.54,,,,16.7,24.9,,,
90,속초,2016-07,22.9,25.8,20.7,31.9,17,1006.2,1008.3,24.9,90,477.8,206.4,,,1.3,7.7,,,26.47,,,,20.4,25.1,,,
90,속초,2016-08,25.5,29.3,22.1,35.9,15.3,1004,1006,26.9,82,186.9,65.4,,,1.6,9.9,,,52.3,,,,22.1,27.8,,,
90,속초,2016-09,20.4,23.6,17.5,28.6,13.2,1012.1,1014.2,20.7,87,126,41.8,,,1.5,7.7,,,34.86,,,,16.9,22,,,
90,속초,2016-10,15.3,19,11.5,24.2,3.3,1017,1019.1,13.3,75,128.5,52.3,,,1.7,8.1,,,40.55,,,,10,15.6,,,
90,속초,2016-11,8.4,12.6,4,20.8,-2.5,1019.4,1021.6,6.9,60,40.8,17.3,,,1.8,8.3,,,56.74,,,,1.5,7.7,,,
90,속초,2016-12,4.4,8.4,.3,14.1,-6.1,1019.9,1022.2,4.7,56,121.7,36.2,,,1.9,9.9,,,55.62,,,,-1.7,3.4,,,
90,속초,2017-01,.8,5,-3.3,11.3,-11.2,1020.2,1022.5,3.4,50,82.4,29.3,,,1.9,8.6,,,70.48,,,,-3.7,.8,,,
90,속초,2017-02,3,7.5,-1.7,14.7,-8.2,1017.8,1020,3.5,44,3.2,3.2,,,2,11.4,,,73.58,,,,-4.2,2.5,,,
90,속초,2017-03,7,11.4,2.6,18.5,-2.8,1015.9,1018.1,5.6,57,48.7,11.8,,,1.9,8.1,,,53.83,,,,-.2,8,,,
