,Unnamed: 0_x,지점,지점명,일시,평균기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),일조율(%),최심적설(cm),평균지면온도(°C),years,month,HDD,CDD,Unnamed: 0_y,시도,시군구,계약종별,전력량
0,0,90,속초,2015-01,1.8,1019.8,1022.1,3.7,52.0,8.7,2.2,60.79,3.0,1.2,2015,1,16.2,0.0,41,강원도,속초시,산업용,4518909
1,1,90,속초,2015-02,2.4,1018.0,1020.2,4.4,59.0,32.1,2.5,62.81,8.7,2.3,2015,2,15.6,0.0,221,강원도,속초시,산업용,4491083
2,2,90,속초,2015-03,6.6,1017.0,1019.2,5.2,52.0,8.0,2.5,74.49,0.0,8.5,2015,3,11.4,0.0,401,강원도,속초시,산업용,3951940
3,3,90,속초,2015-04,11.1,1014.0,1016.2,8.1,69.0,74.2,2.5,46.87,0.0,12.8,2015,4,6.9,0.0,581,강원도,속초시,산업용,4427856
4,4,90,속초,2015-05,17.8,1005.8,1007.9,11.5,61.0,9.2,2.4,67.6,0.0,23.7,2015,5,0.1999999999999993,0.0,761,강원도,속초시,산업용,4409943
5,5,90,속초,2015-06,19.5,1005.6,1007.7,18.3,83.0,127.7,2.1,43.1,0.0,24.9,2015,6,0.0,0.0,941,강원도,속초시,산업용,4759670
6,6,90,속초,2015-07,22.7,1005.3,1007.4,23.1,85.0,163.1,1.9,41.94,0.0,24.8,2015,7,0.0,0.0,1121,강원도,속초시,산업용,4680248
7,7,90,속초,2015-08,24.2,1006.3,1008.4,25.1,84.0,198.6,1.8,52.83,0.0,26.5,2015,8,0.0,0.1999999999999993,1301,강원도,속초시,산업용,4754853
8,8,90,속초,2015-09,19.1,1012.8,1015.0,17.7,80.0,13.5,1.8,58.59,0.0,23.1,2015,9,0.0,0.0,1481,강원도,속초시,산업용,5080278
9,9,90,속초,2015-10,14.7,1014.9,1017.0,10.0,58.0,27.4,2.0,69.16,0.0,17.0,2015,10,3.3000000000000007,0.0,1661,강원도,속초시,산업용,4877462
10,10,90,속초,2015-11,8.4,1021.5,1023.8,8.4,74.0,463.5,2.0,32.4,0.0,9.4,2015,11,9.6,0.0,1841,강원도,속초시,산업용,4952858
11,11,90,속초,2015-12,3.0,1021.1,1023.4,4.3,53.0,1.7,1.8,55.65,0.0,2.9,2015,12,15.0,0.0,2021,강원도,속초시,산업용,5297938
12,12,90,속초,2016-01,-1.2,1019.7,1022.0,2.6,43.0,6.6,2.4,69.39,0.0,-0.4,2016,1,19.2,0.0,113,강원도,속초시,산업용,5234151
13,13,90,속초,2016-02,0.8,1019.7,1022.0,3.6,55.0,38.3,2.1,63.23,0.0,1.1,2016,2,17.2,0.0,293,강원도,속초시,산업용,5004893
14,14,90,속초,2016-03,7.0,1017.9,1020.2,5.6,58.0,31.8,1.9,56.44,0.0,7.2,2016,3,11.0,0.0,473,강원도,속초시,산업용,4899459
15,15,90,속초,2016-04,12.6,1010.6,1012.8,9.1,66.0,77.5,2.3,56.22,0.0,14.5,2016,4,5.4,0.0,653,강원도,속초시,산업용,5027472
16,16,90,속초,2016-05,17.2,1008.1,1010.2,12.5,67.0,35.7,2.2,59.06,0.0,21.2,2016,5,0.8000000000000007,0.0,833,강원도,속초시,산업용,4891296
17,17,90,속초,2016-06,20.6,1005.5,1007.6,19.4,82.0,62.2,1.8,39.54,0.0,24.9,2016,6,0.0,0.0,1013,강원도,속초시,산업용,5231054
18,18,90,속초,2016-07,22.9,1006.2,1008.3,24.9,90.0,477.8,1.3,26.47,0.0,25.1,2016,7,0.0,0.0,1193,강원도,속초시,산업용,5254957
19,19,90,속초,2016-08,25.5,1004.0,1006.0,26.9,82.0,186.9,1.6,52.3,0.0,27.8,2016,8,0.0,1.5,1373,강원도,속초시,산업용,5197456
20,20,90,속초,2016-09,20.4,1012.1,1014.2,20.7,87.0,126.0,1.5,34.86,0.0,22.0,2016,9,0.0,0.0,1553,강원도,속초시,산업용,5182564
21,21,90,속초,2016-10,15.3,1017.0,1019.1,13.3,75.0,128.5,1.7,40.55,0.0,15.6,2016,10,2.6999999999999997,0.0,1733,강원도,속초시,산업용,5142663
22,22,90,속초,2016-11,8.4,1019.4,1021.6,6.9,60.0,40.8,1.8,56.74,0.0,7.7,2016,11,9.6,0.0,1913,강원도,속초시,산업용,5271723
23,23,90,속초,2016-12,4.4,1019.9,1022.2,4.7,56.0,121.7,1.9,55.62,0.0,3.4,2016,12,13.6,0.0,2093,강원도,속초시,산업용,5769896
24,24,90,속초,2017-01,0.8,1020.2,1022.5,3.4,50.0,82.4,1.9,70.48,0.0,0.8,2017,1,17.2,0.0,5,강원도,속초시,산업용,5388447
25,25,90,속초,2017-02,3.0,1017.8,1020.0,3.5,44.0,3.2,2.0,73.58,0.0,2.5,2017,2,15.0,0.0,185,강원도,속초시,산업용,5011065
26,26,90,속초,2017-03,7.0,1015.9,1018.1,5.6,57.0,48.7,1.9,53.83,0.0,8.0,2017,3,11.0,0.0,365,강원도,속초시,산업용,5049390
27,27,90,속초,2017-04,14.8,1008.9,1011.1,8.9,56.0,46.8,2.3,64.38,0.0,17.4,2017,4,3.1999999999999997,0.0,545,강원도,속초시,산업용,5269051
28,28,90,속초,2017-05,18.7,1008.0,1010.1,12.8,62.0,25.2,2.0,61.61,0.0,25.0,2017,5,0.0,0.0,725,강원도,속초시,산업용,5151276
29,29,90,속초,2017-06,19.8,1006.2,1008.3,18.2,79.0,69.7,1.7,46.18,0.0,25.5,2017,6,0.0,0.0,905,강원도,속초시,산업용,5241696
30,30,90,속초,2017-07,25.6,1004.7,1006.7,26.0,81.0,270.3,1.2,36.71,0.0,27.7,2017,7,0.0,1.6000000000000014,1085,강원도,속초시,산업용,5409359
31,31,90,속초,2017-08,23.7,1006.2,1008.3,24.6,84.0,424.9,1.1,25.39,0.0,25.8,2017,8,0.0,0.0,1265,강원도,속초시,산업용,5276701
32,32,90,속초,2017-09,20.8,1010.6,1012.7,17.2,71.0,50.5,1.6,66.77,0.0,23.7,2017,9,0.0,0.0,1445,강원도,속초시,산업용,5409469
33,33,90,속초,2017-10,14.5,1019.0,1021.2,12.5,74.0,135.4,1.7,45.39,0.0,16.2,2017,10,3.5,0.0,1625,강원도,속초시,산업용,5166365
34,34,90,속초,2017-11,7.8,1017.7,1019.9,5.1,43.0,41.2,2.2,71.88,0.0,7.2,2017,11,10.2,0.0,1805,강원도,속초시,산업용,5266913
35,35,90,속초,2017-12,0.7,1019.9,1022.2,2.7,38.0,9.9,2.2,77.75,0.0,-0.5,2017,12,17.3,0.0,1985,강원도,속초시,산업용,5194890
36,36,90,속초,2018-01,-1.4,1018.5,1020.8,2.3,37.0,3.9,2.0,70.26,0.0,-0.9,2018,1,19.4,0.0,149,강원도,속초시,산업용,5520807
37,37,90,속초,2018-02,-0.5,1018.8,1021.1,2.8,43.0,54.4,2.1,72.4,0.0,0.6,2018,2,18.5,0.0,329,강원도,속초시,산업용,5530034
38,38,90,속초,2018-03,8.0,1017.3,1019.5,6.2,59.0,55.0,2.2,46.17,0.0,8.5,2018,3,10.0,0.0,509,강원도,속초시,산업용,4854480
39,39,90,속초,2018-04,13.0,1012.2,1014.4,7.9,57.0,141.7,2.3,57.47,0.0,14.9,2018,4,5.0,0.0,689,강원도,속초시,산업용,5225281
40,40,90,속초,2018-05,15.9,1009.0,1011.1,13.1,75.0,123.6,2.0,42.2,0.0,19.1,2018,5,2.1,0.0,869,강원도,속초시,산업용,4947731
41,41,90,속초,2018-06,21.3,1005.3,1007.4,17.7,72.0,46.5,1.7,47.1,0.0,26.9,2018,6,0.0,0.0,1049,강원도,속초시,산업용,5000479
42,42,90,속초,2018-07,25.0,1006.9,1009.0,25.7,82.0,185.4,1.6,46.45,0.0,29.4,2018,7,0.0,1.0,1229,강원도,속초시,산업용,5371288
43,43,90,속초,2018-08,25.6,1005.9,1007.9,26.9,82.0,625.0,1.6,43.85,0.0,28.6,2018,8,0.0,1.6000000000000014,1409,강원도,속초시,산업용,5466421
44,44,90,속초,2018-09,20.0,1011.6,1013.7,17.0,73.0,66.1,1.5,52.52,0.0,23.2,2018,9,0.0,0.0,1589,강원도,속초시,산업용,5282808
45,45,90,속초,2018-10,13.5,1015.7,1017.9,9.6,61.0,257.6,1.8,65.99,0.0,14.1,2018,10,4.5,0.0,1769,강원도,속초시,산업용,4964919
46,46,90,속초,2018-11,9.2,1020.1,1022.3,7.0,57.0,207.4,1.6,54.47,0.0,7.8,2018,11,8.8,0.0,1949,강원도,속초시,산업용,5153165
47,47,90,속초,2018-12,1.6,1022.5,1024.8,3.3,42.0,10.4,1.8,70.2,0.0,0.8,2018,12,16.4,0.0,2129,강원도,속초시,산업용,5221029
48,48,90,속초,2019-01,1.7,1020.4,1022.7,2.4,35.0,8.7,1.9,76.02,0.0,1.3,2019,1,16.3,0.0,59,강원도,속초시,산업용,5690396
49,49,90,속초,2019-02,2.5,1020.0,1022.3,3.7,49.0,27.6,1.8,71.38,0.0,2.6,2019,2,15.5,0.0,239,강원도,속초시,산업용,5277497
50,50,90,속초,2019-03,8.2,1012.9,1015.1,5.4,51.0,44.4,2.1,62.93,0.0,8.4,2019,3,9.8,0.0,419,강원도,속초시,산업용,5034923
51,51,90,속초,2019-04,11.9,1011.9,1014.1,7.5,55.0,80.9,2.1,58.27,0.0,13.5,2019,4,6.1,0.0,599,강원도,속초시,산업용,5036451
52,52,90,속초,2019-05,19.8,1007.6,1009.7,11.2,52.0,5.7,2.2,67.06,0.0,24.1,2019,5,0.0,0.0,779,강원도,속초시,산업용,4937691
53,53,90,속초,2019-06,20.0,1005.1,1007.2,18.1,78.0,97.8,1.8,50.72,0.0,24.3,2019,6,0.0,0.0,959,강원도,속초시,산업용,5251553
54,54,90,속초,2019-07,24.7,1004.0,1006.0,24.4,80.0,234.4,1.7,43.49,0.0,27.4,2019,7,0.0,0.6999999999999993,1139,강원도,속초시,산업용,5261415
55,55,90,속초,2019-08,25.7,1004.7,1006.7,25.6,78.0,293.5,1.7,54.58,0.0,28.4,2019,8,0.0,1.6999999999999993,1319,강원도,속초시,산업용,5583661
56,56,90,속초,2019-09,20.9,1013.6,1015.6,19.5,79.0,209.9,1.5,38.85,0.0,22.7,2019,9,0.0,0.0,1499,강원도,속초시,산업용,5484982
57,57,90,속초,2019-10,16.1,1016.7,1018.8,12.6,68.0,185.5,1.9,45.33,0.0,16.1,2019,10,1.8999999999999984,0.0,1679,강원도,속초시,산업용,5291254
58,58,90,속초,2019-11,9.4,1018.9,1021.1,6.9,57.0,157.3,1.8,61.42,0.0,8.7,2019,11,8.6,0.0,1859,강원도,속초시,산업용,5230587
59,59,90,속초,2019-12,4.2,1020.6,1022.7,3.9,45.0,9.8,1.9,65.71,0.0,2.6,2019,12,13.8,0.0,2039,강원도,속초시,산업용,5339874
60,60,90,속초,2020-01,3.4,1019.7,1021.9,4.2,53.0,148.1,2.1,53.52,0.0,2.3,2020,1,14.6,0.0,95,강원도,속초시,산업용,5374063
61,61,90,속초,2020-02,4.1,1020.3,1022.5,4.6,53.0,55.8,2.0,62.11,0.0,3.8,2020,2,13.9,0.0,275,강원도,속초시,산업용,5153196
