,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,강원도,춘천시,가로등,춘천,1,2626582
1,2017,강원도,원주시,가로등,원주,1,2222839
2,2017,강원도,강릉시,가로등,강릉,1,2671697
3,2017,강원도,동해시,가로등,동해,1,674852
4,2017,강원도,태백시,가로등,태백,1,414304
5,2017,강원도,속초시,가로등,속초,1,651760
6,2017,강원도,삼척시,가로등,삼척,1,1317354
7,2017,강원도,홍천군,가로등,홍천,1,1331433
8,2017,강원도,횡성군,가로등,횡성,1,807795
9,2017,강원도,영월군,가로등,영월,1,853107
10,2017,강원도,평창군,가로등,평창,1,990459
11,2017,강원도,정선군,가로등,정선,1,598241
12,2017,강원도,철원군,가로등,철원,1,446331
13,2017,강원도,화천군,가로등,화천,1,466624
14,2017,강원도,양구군,가로등,양,1,575030
15,2017,강원도,인제군,가로등,인제,1,525617
16,2017,강원도,고성군,가로등,고성,1,459800
17,2017,강원도,양양군,가로등,양양,1,533107
18,2021,강원도,춘천시,가로등,춘천,1,2049264
19,2021,강원도,원주시,가로등,원주,1,2220107
20,2021,강원도,강릉시,가로등,강릉,1,2474109
21,2021,강원도,동해시,가로등,동해,1,518956
22,2021,강원도,태백시,가로등,태백,1,309270
23,2021,강원도,속초시,가로등,속초,1,585222
24,2021,강원도,삼척시,가로등,삼척,1,1037862
25,2021,강원도,홍천군,가로등,홍천,1,1262510
26,2021,강원도,횡성군,가로등,횡성,1,735065
27,2021,강원도,영월군,가로등,영월,1,771899
28,2021,강원도,평창군,가로등,평창,1,1117015
29,2021,강원도,정선군,가로등,정선,1,822107
30,2021,강원도,철원군,가로등,철원,1,402666
31,2021,강원도,화천군,가로등,화천,1,351853
32,2021,강원도,양구군,가로등,양,1,517397
33,2021,강원도,인제군,가로등,인제,1,885014
34,2021,강원도,고성군,가로등,고성,1,479873
35,2021,강원도,양양군,가로등,양양,1,887776
36,2015,강원도,춘천시,가로등,춘천,1,2555210
37,2015,강원도,원주시,가로등,원주,1,1985499
38,2015,강원도,강릉시,가로등,강릉,1,2873611
39,2015,강원도,동해시,가로등,동해,1,830095
40,2015,강원도,태백시,가로등,태백,1,430356
41,2015,강원도,속초시,가로등,속초,1,590032
42,2015,강원도,삼척시,가로등,삼척,1,899574
43,2015,강원도,홍천군,가로등,홍천,1,1183964
44,2015,강원도,횡성군,가로등,횡성,1,710492
45,2015,강원도,영월군,가로등,영월,1,802187
46,2015,강원도,평창군,가로등,평창,1,772529
47,2015,강원도,정선군,가로등,정선,1,645686
48,2015,강원도,철원군,가로등,철원,1,384073
49,2015,강원도,화천군,가로등,화천,1,394958
50,2015,강원도,양구군,가로등,양,1,534752
51,2015,강원도,인제군,가로등,인제,1,498972
52,2015,강원도,고성군,가로등,고성,1,471686
53,2015,강원도,양양군,가로등,양양,1,433197
54,2019,강원도,춘천시,가로등,춘천,1,2722314
55,2019,강원도,원주시,가로등,원주,1,2289949
56,2019,강원도,강릉시,가로등,강릉,1,2612553
57,2019,강원도,동해시,가로등,동해,1,508527
58,2019,강원도,태백시,가로등,태백,1,385600
