,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,강원도,춘천시,교육용,춘천,1,10169146
1,2017,강원도,원주시,교육용,원주,1,7083274
2,2017,강원도,강릉시,교육용,강릉,1,4599938
3,2017,강원도,동해시,교육용,동해,1,998716
4,2017,강원도,태백시,교육용,태백,1,951176
5,2017,강원도,속초시,교육용,속초,1,806881
6,2017,강원도,삼척시,교육용,삼척,1,1758047
7,2017,강원도,홍천군,교육용,홍천,1,1050424
8,2017,강원도,횡성군,교육용,횡성,1,1064325
9,2017,강원도,영월군,교육용,영월,1,798389
10,2017,강원도,평창군,교육용,평창,1,1612453
11,2017,강원도,정선군,교육용,정선,1,634619
12,2017,강원도,철원군,교육용,철원,1,513060
13,2017,강원도,화천군,교육용,화천,1,329061
14,2017,강원도,양구군,교육용,양,1,739725
15,2017,강원도,인제군,교육용,인제,1,596917
16,2017,강원도,고성군,교육용,고성,1,768551
17,2017,강원도,양양군,교육용,양양,1,376800
18,2021,강원도,춘천시,교육용,춘천,1,11334195
19,2021,강원도,원주시,교육용,원주,1,8796218
20,2021,강원도,강릉시,교육용,강릉,1,4940105
21,2021,강원도,동해시,교육용,동해,1,983789
22,2021,강원도,태백시,교육용,태백,1,1196207
23,2021,강원도,속초시,교육용,속초,1,1017606
24,2021,강원도,삼척시,교육용,삼척,1,2060234
25,2021,강원도,홍천군,교육용,홍천,1,1449229
26,2021,강원도,횡성군,교육용,횡성,1,1406976
27,2021,강원도,영월군,교육용,영월,1,1077998
28,2021,강원도,평창군,교육용,평창,1,2128121
29,2021,강원도,정선군,교육용,정선,1,926420
30,2021,강원도,철원군,교육용,철원,1,721719
31,2021,강원도,화천군,교육용,화천,1,489927
32,2021,강원도,양구군,교육용,양,1,942560
33,2021,강원도,인제군,교육용,인제,1,736890
34,2021,강원도,고성군,교육용,고성,1,798083
35,2021,강원도,양양군,교육용,양양,1,407610
36,2015,강원도,춘천시,교육용,춘천,1,10711252
37,2015,강원도,원주시,교육용,원주,1,7174804
38,2015,강원도,강릉시,교육용,강릉,1,4706576
39,2015,강원도,동해시,교육용,동해,1,1109357
40,2015,강원도,태백시,교육용,태백,1,964467
41,2015,강원도,속초시,교육용,속초,1,949875
42,2015,강원도,삼척시,교육용,삼척,1,1856653
43,2015,강원도,홍천군,교육용,홍천,1,965485
44,2015,강원도,횡성군,교육용,횡성,1,1169672
45,2015,강원도,영월군,교육용,영월,1,811353
46,2015,강원도,평창군,교육용,평창,1,1581756
47,2015,강원도,정선군,교육용,정선,1,716807
48,2015,강원도,철원군,교육용,철원,1,568860
49,2015,강원도,화천군,교육용,화천,1,363378
50,2015,강원도,양구군,교육용,양,1,800449
51,2015,강원도,인제군,교육용,인제,1,677894
52,2015,강원도,고성군,교육용,고성,1,784206
53,2015,강원도,양양군,교육용,양양,1,412932
54,2019,강원도,춘천시,교육용,춘천,1,11974594
55,2019,강원도,원주시,교육용,원주,1,8700966
56,2019,강원도,강릉시,교육용,강릉,1,5370781
57,2019,강원도,동해시,교육용,동해,1,1087641
58,2019,강원도,태백시,교육용,태백,1,1239660
59,2019,강원도,속초시,교육용,속초,1,1051550
60,2019,강원도,삼척시,교육용,삼척,1,1992738
61,2019,강원도,홍천군,교육용,홍천,1,1279868
62,2019,강원도,횡성군,교육용,횡성,1,1411815
63,2019,강원도,영월군,교육용,영월,1,1113657
64,2019,강원도,평창군,교육용,평창,1,2002091
65,2019,강원도,정선군,교육용,정선,1,846886
66,2019,강원도,철원군,교육용,철원,1,749322
67,2019,강원도,화천군,교육용,화천,1,455755
68,2019,강원도,양구군,교육용,양,1,869194
69,2019,강원도,인제군,교육용,인제,1,765652
70,2019,강원도,고성군,교육용,고성,1,833455
71,2019,강원도,양양군,교육용,양양,1,432557
72,2023,강원도,춘천시,교육용,춘천,1,13734077
73,2023,강원도,원주시,교육용,원주,1,9683446
74,2023,강원도,강릉시,교육용,강릉,1,5973409
75,2023,강원도,동해시,교육용,동해,1,1311728
76,2023,강원도,태백시,교육용,태백,1,1432629
77,2023,강원도,속초시,교육용,속초,1,1208564
78,2023,강원도,삼척시,교육용,삼척,1,2312281
79,2023,강원도,홍천군,교육용,홍천,1,1551898
80,2023,강원도,횡성군,교육용,횡성,1,1516244
81,2023,강원도,영월군,교육용,영월,1,1353002
82,2023,강원도,평창군,교육용,평창,1,2155074
83,2023,강원도,정선군,교육용,정선,1,977033
84,2023,강원도,철원군,교육용,철원,1,888987
85,2023,강원도,화천군,교육용,화천,1,562141
86,2023,강원도,양구군,교육용,양,1,1004033
87,2023,강원도,인제군,교육용,인제,1,900479
88,2023,강원도,고성군,교육용,고성,1,826134
89,2023,강원도,양양군,교육용,양양,1,511058
90,2020,강원도,춘천시,교육용,춘천,1,10806369
91,2020,강원도,원주시,교육용,원주,1,7586434
92,2020,강원도,강릉시,교육용,강릉,1,4732100
93,2020,강원도,동해시,교육용,동해,1,1018628
94,2020,강원도,태백시,교육용,태백,1,1156133
95,2020,강원도,속초시,교육용,속초,1,930283
96,2020,강원도,삼척시,교육용,삼척,1,1770509
97,2020,강원도,홍천군,교육용,홍천,1,1130006
98,2020,강원도,횡성군,교육용,횡성,1,1300193
99,2020,강원도,영월군,교육용,영월,1,1064241
100,2020,강원도,평창군,교육용,평창,1,1788481
101,2020,강원도,정선군,교육용,정선,1,783552
102,2020,강원도,철원군,교육용,철원,1,646992
103,2020,강원도,화천군,교육용,화천,1,417403
104,2020,강원도,양구군,교육용,양,1,729983
105,2020,강원도,인제군,교육용,인제,1,679478
106,2020,강원도,고성군,교육용,고성,1,772082
107,2020,강원도,양양군,교육용,양양,1,386441
108,2016,강원도,춘천시,교육용,춘천,1,9424254
109,2016,강원도,원주시,교육용,원주,1,6976325
110,2016,강원도,강릉시,교육용,강릉,1,4249165
111,2016,강원도,동해시,교육용,동해,1,941262
112,2016,강원도,태백시,교육용,태백,1,931438
113,2016,강원도,속초시,교육용,속초,1,804071
114,2016,강원도,삼척시,교육용,삼척,1,1736244
115,2016,강원도,홍천군,교육용,홍천,1,875228
116,2016,강원도,횡성군,교육용,횡성,1,1074583
117,2016,강원도,영월군,교육용,영월,1,697379
118,2016,강원도,평창군,교육용,평창,1,1662545
119,2016,강원도,정선군,교육용,정선,1,627718
120,2016,강원도,철원군,교육용,철원,1,554390
121,2016,강원도,화천군,교육용,화천,1,287564
122,2016,강원도,양구군,교육용,양,1,651027
123,2016,강원도,인제군,교육용,인제,1,532310
124,2016,강원도,고성군,교육용,고성,1,691373
125,2016,강원도,양양군,교육용,양양,1,333762
126,2022,강원도,춘천시,교육용,춘천,1,12160673
127,2022,강원도,원주시,교육용,원주,1,9197943
128,2022,강원도,강릉시,교육용,강릉,1,5431530
129,2022,강원도,동해시,교육용,동해,1,1176785
130,2022,강원도,태백시,교육용,태백,1,1238720
