,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,강원도,춘천시,농사용,춘천,1,5198092
1,2017,강원도,원주시,농사용,원주,1,4928563
2,2017,강원도,강릉시,농사용,강릉,1,5067540
3,2017,강원도,동해시,농사용,동해,1,272140
4,2017,강원도,태백시,농사용,태백,1,407064
5,2017,강원도,속초시,농사용,속초,1,339537
6,2017,강원도,삼척시,농사용,삼척,1,1479065
7,2017,강원도,홍천군,농사용,홍천,1,4594576
8,2017,강원도,횡성군,농사용,횡성,1,5833781
9,2017,강원도,영월군,농사용,영월,1,1470249
10,2017,강원도,평창군,농사용,평창,1,5197581
11,2017,강원도,정선군,농사용,정선,1,1501403
12,2017,강원도,철원군,농사용,철원,1,5655024
13,2017,강원도,화천군,농사용,화천,1,2255936
14,2017,강원도,양구군,농사용,양,1,1573328
15,2017,강원도,인제군,농사용,인제,1,2390786
16,2017,강원도,고성군,농사용,고성,1,1809195
17,2017,강원도,양양군,농사용,양양,1,1590323
18,2021,강원도,춘천시,농사용,춘천,1,6682456
19,2021,강원도,원주시,농사용,원주,1,6810134
20,2021,강원도,강릉시,농사용,강릉,1,5406283
21,2021,강원도,동해시,농사용,동해,1,353227
22,2021,강원도,태백시,농사용,태백,1,481676
23,2021,강원도,속초시,농사용,속초,1,361071
24,2021,강원도,삼척시,농사용,삼척,1,2000589
25,2021,강원도,홍천군,농사용,홍천,1,7112008
26,2021,강원도,횡성군,농사용,횡성,1,7578272
27,2021,강원도,영월군,농사용,영월,1,2027967
28,2021,강원도,평창군,농사용,평창,1,6054561
29,2021,강원도,정선군,농사용,정선,1,1983998
30,2021,강원도,철원군,농사용,철원,1,8666579
31,2021,강원도,화천군,농사용,화천,1,3054620
32,2021,강원도,양구군,농사용,양,1,2118910
33,2021,강원도,인제군,농사용,인제,1,2322165
34,2021,강원도,고성군,농사용,고성,1,2588771
35,2021,강원도,양양군,농사용,양양,1,1982981
36,2015,강원도,춘천시,농사용,춘천,1,4963739
37,2015,강원도,원주시,농사용,원주,1,4425787
38,2015,강원도,강릉시,농사용,강릉,1,5132439
39,2015,강원도,동해시,농사용,동해,1,242662
40,2015,강원도,태백시,농사용,태백,1,382746
41,2015,강원도,속초시,농사용,속초,1,271039
42,2015,강원도,삼척시,농사용,삼척,1,1249062
43,2015,강원도,홍천군,농사용,홍천,1,4260089
44,2015,강원도,횡성군,농사용,횡성,1,5672709
45,2015,강원도,영월군,농사용,영월,1,1290140
46,2015,강원도,평창군,농사용,평창,1,3288661
47,2015,강원도,정선군,농사용,정선,1,1409187
48,2015,강원도,철원군,농사용,철원,1,5316430
49,2015,강원도,화천군,농사용,화천,1,2307819
50,2015,강원도,양구군,농사용,양,1,1524950
51,2015,강원도,인제군,농사용,인제,1,2262980
52,2015,강원도,고성군,농사용,고성,1,1354780
53,2015,강원도,양양군,농사용,양양,1,1144299
54,2019,강원도,춘천시,농사용,춘천,1,5938082
55,2019,강원도,원주시,농사용,원주,1,5756526
56,2019,강원도,강릉시,농사용,강릉,1,5126380
57,2019,강원도,동해시,농사용,동해,1,289055
58,2019,강원도,태백시,농사용,태백,1,431367
59,2019,강원도,속초시,농사용,속초,1,331401
60,2019,강원도,삼척시,농사용,삼척,1,1717101
61,2019,강원도,홍천군,농사용,홍천,1,5865496
62,2019,강원도,횡성군,농사용,횡성,1,6861021
63,2019,강원도,영월군,농사용,영월,1,1761164
64,2019,강원도,평창군,농사용,평창,1,5283048
65,2019,강원도,정선군,농사용,정선,1,1767960
66,2019,강원도,철원군,농사용,철원,1,7567016
67,2019,강원도,화천군,농사용,화천,1,2582544
68,2019,강원도,양구군,농사용,양,1,1872450
69,2019,강원도,인제군,농사용,인제,1,2074770
70,2019,강원도,고성군,농사용,고성,1,2101394
71,2019,강원도,양양군,농사용,양양,1,1805822
72,2023,강원도,춘천시,농사용,춘천,1,6635582
73,2023,강원도,원주시,농사용,원주,1,7733064
74,2023,강원도,강릉시,농사용,강릉,1,5410741
75,2023,강원도,동해시,농사용,동해,1,369650
76,2023,강원도,태백시,농사용,태백,1,621832
77,2023,강원도,속초시,농사용,속초,1,410686
78,2023,강원도,삼척시,농사용,삼척,1,2336791
79,2023,강원도,홍천군,농사용,홍천,1,7776386
80,2023,강원도,횡성군,농사용,횡성,1,8245808
81,2023,강원도,영월군,농사용,영월,1,2220495
82,2023,강원도,평창군,농사용,평창,1,6230212
83,2023,강원도,정선군,농사용,정선,1,2070763
84,2023,강원도,철원군,농사용,철원,1,9342128
85,2023,강원도,화천군,농사용,화천,1,3134351
86,2023,강원도,양구군,농사용,양,1,2079422
87,2023,강원도,인제군,농사용,인제,1,2475933
88,2023,강원도,고성군,농사용,고성,1,2541411
89,2023,강원도,양양군,농사용,양양,1,2245937
90,2020,강원도,춘천시,농사용,춘천,1,5583153
91,2020,강원도,원주시,농사용,원주,1,5725027
92,2020,강원도,강릉시,농사용,강릉,1,4646760
93,2020,강원도,동해시,농사용,동해,1,309526
94,2020,강원도,태백시,농사용,태백,1,410689
95,2020,강원도,속초시,농사용,속초,1,314369
96,2020,강원도,삼척시,농사용,삼척,1,1706934
97,2020,강원도,홍천군,농사용,홍천,1,5888156
98,2020,강원도,횡성군,농사용,횡성,1,6619360
99,2020,강원도,영월군,농사용,영월,1,1719273
100,2020,강원도,평창군,농사용,평창,1,5224984
101,2020,강원도,정선군,농사용,정선,1,1753570
102,2020,강원도,철원군,농사용,철원,1,7651886
103,2020,강원도,화천군,농사용,화천,1,2644003
104,2020,강원도,양구군,농사용,양,1,1996880
105,2020,강원도,인제군,농사용,인제,1,2109666
106,2020,강원도,고성군,농사용,고성,1,2209765
107,2020,강원도,양양군,농사용,양양,1,1835214
108,2016,강원도,춘천시,농사용,춘천,1,4919492
109,2016,강원도,원주시,농사용,원주,1,4643972
110,2016,강원도,강릉시,농사용,강릉,1,4802574
111,2016,강원도,동해시,농사용,동해,1,271295
112,2016,강원도,태백시,농사용,태백,1,391958
113,2016,강원도,속초시,농사용,속초,1,335228
114,2016,강원도,삼척시,농사용,삼척,1,1264972
115,2016,강원도,홍천군,농사용,홍천,1,4286601
116,2016,강원도,횡성군,농사용,횡성,1,5701052
117,2016,강원도,영월군,농사용,영월,1,1402705
118,2016,강원도,평창군,농사용,평창,1,4925683
119,2016,강원도,정선군,농사용,정선,1,1524550
120,2016,강원도,철원군,농사용,철원,1,5444607
121,2016,강원도,화천군,농사용,화천,1,2182372
122,2016,강원도,양구군,농사용,양,1,1602467
123,2016,강원도,인제군,농사용,인제,1,2158615
124,2016,강원도,고성군,농사용,고성,1,1634207
125,2016,강원도,양양군,농사용,양양,1,1503941
126,2022,강원도,춘천시,농사용,춘천,1,6625503
127,2022,강원도,원주시,농사용,원주,1,6950656
128,2022,강원도,강릉시,농사용,강릉,1,5428143
129,2022,강원도,동해시,농사용,동해,1,360849
130,2022,강원도,태백시,농사용,태백,1,552634
131,2022,강원도,속초시,농사용,속초,1,383359
132,2022,강원도,삼척시,농사용,삼척,1,2112682
133,2022,강원도,홍천군,농사용,홍천,1,7423994
134,2022,강원도,횡성군,농사용,횡성,1,7776593
135,2022,강원도,영월군,농사용,영월,1,2239003
136,2022,강원도,평창군,농사용,평창,1,6254788
137,2022,강원도,정선군,농사용,정선,1,2046300
138,2022,강원도,철원군,농사용,철원,1,8751137
139,2022,강원도,화천군,농사용,화천,1,3018026
140,2022,강원도,양구군,농사용,양,1,2121511
141,2022,강원도,인제군,농사용,인제,1,2279272
142,2022,강원도,고성군,농사용,고성,1,2551618
143,2022,강원도,양양군,농사용,양양,1,2017709
144,2018,강원도,춘천시,농사용,춘천,1,5677706
145,2018,강원도,원주시,농사용,원주,1,5545985
146,2018,강원도,강릉시,농사용,강릉,1,5710191
147,2018,강원도,동해시,농사용,동해,1,307398
148,2018,강원도,태백시,농사용,태백,1,405586
149,2018,강원도,속초시,농사용,속초,1,335858
150,2018,강원도,삼척시,농사용,삼척,1,1609135
151,2018,강원도,홍천군,농사용,홍천,1,5208565
152,2018,강원도,횡성군,농사용,횡성,1,6524747
153,2018,강원도,영월군,농사용,영월,1,1716009
154,2018,강원도,평창군,농사용,평창,1,4891036
155,2018,강원도,정선군,농사용,정선,1,1535085
156,2018,강원도,철원군,농사용,철원,1,6626668
157,2018,강원도,화천군,농사용,화천,1,2564895
158,2018,강원도,양구군,농사용,양,1,1813396
159,2018,강원도,인제군,농사용,인제,1,2422570
160,2018,강원도,고성군,농사용,고성,1,1953155
161,2018,강원도,양양군,농사용,양양,1,1685807
162,2024,강원도,춘천시,농사용,춘천,1,6158456
163,2024,강원도,원주시,농사용,원주,1,6891458
164,2024,강원도,강릉시,농사용,강릉,1,5152208
165,2024,강원도,동해시,농사용,동해,1,353203
166,2024,강원도,태백시,농사용,태백,1,1011976
167,2024,강원도,속초시,농사용,속초,1,362914
168,2024,강원도,삼척시,농사용,삼척,1,2123252
169,2024,강원도,홍천군,농사용,홍천,1,7196494
170,2024,강원도,횡성군,농사용,횡성,1,8003421
171,2024,강원도,영월군,농사용,영월,1,1999480
172,2024,강원도,평창군,농사용,평창,1,6026754
173,2024,강원도,정선군,농사용,정선,1,2025255
174,2024,강원도,철원군,농사용,철원,1,8488130
175,2024,강원도,화천군,농사용,화천,1,3020653
176,2024,강원도,양구군,농사용,양,1,1931552
177,2024,강원도,인제군,농사용,인제,1,2343083
178,2024,강원도,고성군,농사용,고성,1,2487961
179,2024,강원도,양양군,농사용,양양,1,1930665
180,2017,강원도,춘천시,농사용,춘천,2,5534253
181,2017,강원도,원주시,농사용,원주,2,5144678
182,2017,강원도,강릉시,농사용,강릉,2,5292900
183,2017,강원도,동해시,농사용,동해,2,282013
184,2017,강원도,태백시,농사용,태백,2,433408
185,2017,강원도,속초시,농사용,속초,2,317709
186,2017,강원도,삼척시,농사용,삼척,2,1509354
187,2017,강원도,홍천군,농사용,홍천,2,4979450
188,2017,강원도,횡성군,농사용,횡성,2,6153567
189,2017,강원도,영월군,농사용,영월,2,1534823
190,2017,강원도,평창군,농사용,평창,2,5293954
191,2017,강원도,정선군,농사용,정선,2,1493845
192,2017,강원도,철원군,농사용,철원,2,6007922
