,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,강원도,춘천시,산업용,춘천,1,18537959
1,2017,강원도,원주시,산업용,원주,1,69976155
2,2017,강원도,강릉시,산업용,강릉,1,74235465
3,2017,강원도,동해시,산업용,동해,1,189075430
4,2017,강원도,태백시,산업용,태백,1,10596440
5,2017,강원도,속초시,산업용,속초,1,5388447
6,2017,강원도,삼척시,산업용,삼척,1,101175619
7,2017,강원도,홍천군,산업용,홍천,1,10459607
8,2017,강원도,횡성군,산업용,횡성,1,15204851
9,2017,강원도,영월군,산업용,영월,1,59842088
10,2017,강원도,평창군,산업용,평창,1,5672044
11,2017,강원도,정선군,산업용,정선,1,18168738
12,2017,강원도,철원군,산업용,철원,1,4759427
13,2017,강원도,화천군,산업용,화천,1,1970376
14,2017,강원도,양구군,산업용,양,1,1606022
15,2017,강원도,인제군,산업용,인제,1,2934872
16,2017,강원도,고성군,산업용,고성,1,4891567
17,2017,강원도,양양군,산업용,양양,1,3529224
18,2021,강원도,춘천시,산업용,춘천,1,20440821
19,2021,강원도,원주시,산업용,원주,1,72531059
20,2021,강원도,강릉시,산업용,강릉,1,54737577
21,2021,강원도,동해시,산업용,동해,1,134251438
22,2021,강원도,태백시,산업용,태백,1,9312286
23,2021,강원도,속초시,산업용,속초,1,5690116
24,2021,강원도,삼척시,산업용,삼척,1,92257263
25,2021,강원도,홍천군,산업용,홍천,1,10952635
26,2021,강원도,횡성군,산업용,횡성,1,21676621
27,2021,강원도,영월군,산업용,영월,1,61390080
28,2021,강원도,평창군,산업용,평창,1,8342176
29,2021,강원도,정선군,산업용,정선,1,19612817
30,2021,강원도,철원군,산업용,철원,1,5920690
31,2021,강원도,화천군,산업용,화천,1,2287949
32,2021,강원도,양구군,산업용,양,1,1866478
33,2021,강원도,인제군,산업용,인제,1,3613032
34,2021,강원도,고성군,산업용,고성,1,4500927
35,2021,강원도,양양군,산업용,양양,1,3977096
36,2015,강원도,춘천시,산업용,춘천,1,15557799
