,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,강원도,춘천시,심 야,춘천,1,28007511
1,2017,강원도,원주시,심 야,원주,1,38942300
2,2017,강원도,강릉시,심 야,강릉,1,21495125
3,2017,강원도,동해시,심 야,동해,1,6649477
4,2017,강원도,태백시,심 야,태백,1,4994041
5,2017,강원도,속초시,심 야,속초,1,6250791
6,2017,강원도,삼척시,심 야,삼척,1,6066835
7,2017,강원도,홍천군,심 야,홍천,1,24368804
8,2017,강원도,횡성군,심 야,횡성,1,19287162
9,2017,강원도,영월군,심 야,영월,1,9986081
10,2017,강원도,평창군,심 야,평창,1,22334913
11,2017,강원도,정선군,심 야,정선,1,11602858
12,2017,강원도,철원군,심 야,철원,1,18315156
13,2017,강원도,화천군,심 야,화천,1,7623523
14,2017,강원도,양구군,심 야,양,1,8059249
15,2017,강원도,인제군,심 야,인제,1,11387220
16,2017,강원도,고성군,심 야,고성,1,7281265
17,2017,강원도,양양군,심 야,양양,1,6907799
18,2021,강원도,춘천시,심 야,춘천,1,25334123
19,2021,강원도,원주시,심 야,원주,1,35680056
20,2021,강원도,강릉시,심 야,강릉,1,20339188
21,2021,강원도,동해시,심 야,동해,1,6326983
22,2021,강원도,태백시,심 야,태백,1,4886857
23,2021,강원도,속초시,심 야,속초,1,5792463
24,2021,강원도,삼척시,심 야,삼척,1,5812724
25,2021,강원도,홍천군,심 야,홍천,1,24747312
26,2021,강원도,횡성군,심 야,횡성,1,19893284
27,2021,강원도,영월군,심 야,영월,1,9862027
28,2021,강원도,평창군,심 야,평창,1,22863264
29,2021,강원도,정선군,심 야,정선,1,11479696
30,2021,강원도,철원군,심 야,철원,1,18825942
31,2021,강원도,화천군,심 야,화천,1,7148175
32,2021,강원도,양구군,심 야,양,1,6486781
33,2021,강원도,인제군,심 야,인제,1,10239014
34,2021,강원도,고성군,심 야,고성,1,6957197
35,2021,강원도,양양군,심 야,양양,1,6703613
36,2015,강원도,춘천시,심 야,춘천,1,34807171
37,2015,강원도,원주시,심 야,원주,1,48026132
38,2015,강원도,강릉시,심 야,강릉,1,25600480
39,2015,강원도,동해시,심 야,동해,1,8215189
40,2015,강원도,태백시,심 야,태백,1,6290873
41,2015,강원도,속초시,심 야,속초,1,7606481
42,2015,강원도,삼척시,심 야,삼척,1,7409436
43,2015,강원도,홍천군,심 야,홍천,1,29928666
44,2015,강원도,횡성군,심 야,횡성,1,23451713
45,2015,강원도,영월군,심 야,영월,1,12304898
46,2015,강원도,평창군,심 야,평창,1,27068460
47,2015,강원도,정선군,심 야,정선,1,13824234
48,2015,강원도,철원군,심 야,철원,1,22340895
49,2015,강원도,화천군,심 야,화천,1,9178679
50,2015,강원도,양구군,심 야,양,1,9708389
51,2015,강원도,인제군,심 야,인제,1,13877671
52,2015,강원도,고성군,심 야,고성,1,8715568
53,2015,강원도,양양군,심 야,양양,1,8422362
54,2019,강원도,춘천시,심 야,춘천,1,28356388
55,2019,강원도,원주시,심 야,원주,1,38851144
56,2019,강원도,강릉시,심 야,강릉,1,21113416
57,2019,강원도,동해시,심 야,동해,1,6677026
58,2019,강원도,태백시,심 야,태백,1,5019577
59,2019,강원도,속초시,심 야,속초,1,6235368
60,2019,강원도,삼척시,심 야,삼척,1,6052337
61,2019,강원도,홍천군,심 야,홍천,1,25778037
62,2019,강원도,횡성군,심 야,횡성,1,20219020
63,2019,강원도,영월군,심 야,영월,1,10408704
64,2019,강원도,평창군,심 야,평창,1,23356487
65,2019,강원도,정선군,심 야,정선,1,11901358
66,2019,강원도,철원군,심 야,철원,1,19465232
67,2019,강원도,화천군,심 야,화천,1,8236017
68,2019,강원도,양구군,심 야,양,1,8324167
69,2019,강원도,인제군,심 야,인제,1,11999502
70,2019,강원도,고성군,심 야,고성,1,7368523
71,2019,강원도,양양군,심 야,양양,1,7063621
72,2023,강원도,춘천시,심 야,춘천,1,23483024
73,2023,강원도,원주시,심 야,원주,1,32635971
74,2023,강원도,강릉시,심 야,강릉,1,18442767
75,2023,강원도,동해시,심 야,동해,1,5789479
76,2023,강원도,태백시,심 야,태백,1,4567640
77,2023,강원도,속초시,심 야,속초,1,5291255
78,2023,강원도,삼척시,심 야,삼척,1,5415479
79,2023,강원도,홍천군,심 야,홍천,1,23681903
80,2023,강원도,횡성군,심 야,횡성,1,18806074
81,2023,강원도,영월군,심 야,영월,1,9486153
82,2023,강원도,평창군,심 야,평창,1,21659786
83,2023,강원도,정선군,심 야,정선,1,10869642
84,2023,강원도,철원군,심 야,철원,1,16094699
85,2023,강원도,화천군,심 야,화천,1,6632577
86,2023,강원도,양구군,심 야,양,1,5966891
87,2023,강원도,인제군,심 야,인제,1,9226417
88,2023,강원도,고성군,심 야,고성,1,6591258
89,2023,강원도,양양군,심 야,양양,1,6136231
90,2020,강원도,춘천시,심 야,춘천,1,24027341
91,2020,강원도,원주시,심 야,원주,1,33093916
92,2020,강원도,강릉시,심 야,강릉,1,18585485
93,2020,강원도,동해시,심 야,동해,1,5875146
94,2020,강원도,태백시,심 야,태백,1,4570279
