,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,강원도,춘천시,일반용,춘천,1,67365786
1,2017,강원도,원주시,일반용,원주,1,77167977
2,2017,강원도,강릉시,일반용,강릉,1,49647818
3,2017,강원도,동해시,일반용,동해,1,19775112
4,2017,강원도,태백시,일반용,태백,1,8810070
5,2017,강원도,속초시,일반용,속초,1,23221526
6,2017,강원도,삼척시,일반용,삼척,1,16004145
7,2017,강원도,홍천군,일반용,홍천,1,24710266
8,2017,강원도,횡성군,일반용,횡성,1,13818093
9,2017,강원도,영월군,일반용,영월,1,7735084
10,2017,강원도,평창군,일반용,평창,1,25953797
11,2017,강원도,정선군,일반용,정선,1,25147419
12,2017,강원도,철원군,일반용,철원,1,16972073
13,2017,강원도,화천군,일반용,화천,1,11903150
14,2017,강원도,양구군,일반용,양,1,8746275
15,2017,강원도,인제군,일반용,인제,1,14136675
16,2017,강원도,고성군,일반용,고성,1,11963610
17,2017,강원도,양양군,일반용,양양,1,11112453
18,2021,강원도,춘천시,일반용,춘천,1,81753719
19,2021,강원도,원주시,일반용,원주,1,86149149
20,2021,강원도,강릉시,일반용,강릉,1,59914337
21,2021,강원도,동해시,일반용,동해,1,20415830
22,2021,강원도,태백시,일반용,태백,1,10621134
23,2021,강원도,속초시,일반용,속초,1,26784480
24,2021,강원도,삼척시,일반용,삼척,1,16390064
25,2021,강원도,홍천군,일반용,홍천,1,27503576
26,2021,강원도,횡성군,일반용,횡성,1,13702551
27,2021,강원도,영월군,일반용,영월,1,9728502
28,2021,강원도,평창군,일반용,평창,1,28153594
29,2021,강원도,정선군,일반용,정선,1,20516441
30,2021,강원도,철원군,일반용,철원,1,19917225
31,2021,강원도,화천군,일반용,화천,1,14222951
32,2021,강원도,양구군,일반용,양,1,9309815
33,2021,강원도,인제군,일반용,인제,1,17191144
34,2021,강원도,고성군,일반용,고성,1,16004993
35,2021,강원도,양양군,일반용,양양,1,15117938
36,2015,강원도,춘천시,일반용,춘천,1,65788077
37,2015,강원도,원주시,일반용,원주,1,73567006
38,2015,강원도,강릉시,일반용,강릉,1,46603869
39,2015,강원도,동해시,일반용,동해,1,20329746
40,2015,강원도,태백시,일반용,태백,1,9452013
41,2015,강원도,속초시,일반용,속초,1,22678104
42,2015,강원도,삼척시,일반용,삼척,1,16411992
43,2015,강원도,홍천군,일반용,홍천,1,24821753
44,2015,강원도,횡성군,일반용,횡성,1,15465052
45,2015,강원도,영월군,일반용,영월,1,7932982
46,2015,강원도,평창군,일반용,평창,1,30581223
47,2015,강원도,정선군,일반용,정선,1,22066909
48,2015,강원도,철원군,일반용,철원,1,16766711
49,2015,강원도,화천군,일반용,화천,1,12366502
50,2015,강원도,양구군,일반용,양,1,8526486
51,2015,강원도,인제군,일반용,인제,1,13778113
52,2015,강원도,고성군,일반용,고성,1,11274992
53,2015,강원도,양양군,일반용,양양,1,10932337
54,2019,강원도,춘천시,일반용,춘천,1,78224050
55,2019,강원도,원주시,일반용,원주,1,84499635
56,2019,강원도,강릉시,일반용,강릉,1,55751316
57,2019,강원도,동해시,일반용,동해,1,21584310
58,2019,강원도,태백시,일반용,태백,1,10060860
59,2019,강원도,속초시,일반용,속초,1,26882049
60,2019,강원도,삼척시,일반용,삼척,1,16179707
61,2019,강원도,홍천군,일반용,홍천,1,27672817
62,2019,강원도,횡성군,일반용,횡성,1,13623118
63,2019,강원도,영월군,일반용,영월,1,8864905
64,2019,강원도,평창군,일반용,평창,1,30927762
65,2019,강원도,정선군,일반용,정선,1,31292416
66,2019,강원도,철원군,일반용,철원,1,17536647
67,2019,강원도,화천군,일반용,화천,1,13718373
68,2019,강원도,양구군,일반용,양,1,10261963
69,2019,강원도,인제군,일반용,인제,1,16395986
70,2019,강원도,고성군,일반용,고성,1,13594925
71,2019,강원도,양양군,일반용,양양,1,13092599
72,2023,강원도,춘천시,일반용,춘천,1,91662396
73,2023,강원도,원주시,일반용,원주,1,98264647
74,2023,강원도,강릉시,일반용,강릉,1,64817606
75,2023,강원도,동해시,일반용,동해,1,23763802
76,2023,강원도,태백시,일반용,태백,1,11789341
77,2023,강원도,속초시,일반용,속초,1,30575836
78,2023,강원도,삼척시,일반용,삼척,1,18450260
79,2023,강원도,홍천군,일반용,홍천,1,32204041
80,2023,강원도,횡성군,일반용,횡성,1,16380631
81,2023,강원도,영월군,일반용,영월,1,11115797
82,2023,강원도,평창군,일반용,평창,1,34289873
83,2023,강원도,정선군,일반용,정선,1,25892096
84,2023,강원도,철원군,일반용,철원,1,20604600
85,2023,강원도,화천군,일반용,화천,1,15318410
86,2023,강원도,양구군,일반용,양,1,10498883
87,2023,강원도,인제군,일반용,인제,1,18611565
88,2023,강원도,고성군,일반용,고성,1,17977527
89,2023,강원도,양양군,일반용,양양,1,17300820
90,2020,강원도,춘천시,일반용,춘천,1,77695730
91,2020,강원도,원주시,일반용,원주,1,81872397
92,2020,강원도,강릉시,일반용,강릉,1,55728918
93,2020,강원도,동해시,일반용,동해,1,20911943
94,2020,강원도,태백시,일반용,태백,1,10408445
95,2020,강원도,속초시,일반용,속초,1,25863431
96,2020,강원도,삼척시,일반용,삼척,1,15755326
97,2020,강원도,홍천군,일반용,홍천,1,26512104
98,2020,강원도,횡성군,일반용,횡성,1,14122122
99,2020,강원도,영월군,일반용,영월,1,8968506
100,2020,강원도,평창군,일반용,평창,1,30909590
101,2020,강원도,정선군,일반용,정선,1,24363481
102,2020,강원도,철원군,일반용,철원,1,16985942
103,2020,강원도,화천군,일반용,화천,1,12759395
104,2020,강원도,양구군,일반용,양,1,8863626
105,2020,강원도,인제군,일반용,인제,1,15676509
106,2020,강원도,고성군,일반용,고성,1,14281556
107,2020,강원도,양양군,일반용,양양,1,13348508
108,2016,강원도,춘천시,일반용,춘천,1,64879675
109,2016,강원도,원주시,일반용,원주,1,73657690
110,2016,강원도,강릉시,일반용,강릉,1,46313560
111,2016,강원도,동해시,일반용,동해,1,20423804
112,2016,강원도,태백시,일반용,태백,1,8881489
113,2016,강원도,속초시,일반용,속초,1,22572778
114,2016,강원도,삼척시,일반용,삼척,1,15869456
115,2016,강원도,홍천군,일반용,홍천,1,24636389
116,2016,강원도,횡성군,일반용,횡성,1,14140860
117,2016,강원도,영월군,일반용,영월,1,7465833
118,2016,강원도,평창군,일반용,평창,1,29911299
119,2016,강원도,정선군,일반용,정선,1,24443501
120,2016,강원도,철원군,일반용,철원,1,16941333
121,2016,강원도,화천군,일반용,화천,1,11630049
122,2016,강원도,양구군,일반용,양,1,8208720
123,2016,강원도,인제군,일반용,인제,1,14129426
124,2016,강원도,고성군,일반용,고성,1,11810757
125,2016,강원도,양양군,일반용,양양,1,11038558
126,2022,강원도,춘천시,일반용,춘천,1,85230789
127,2022,강원도,원주시,일반용,원주,1,89106856
128,2022,강원도,강릉시,일반용,강릉,1,61589775
129,2022,강원도,동해시,일반용,동해,1,22417126
130,2022,강원도,태백시,일반용,태백,1,10791471
131,2022,강원도,속초시,일반용,속초,1,28371290
132,2022,강원도,삼척시,일반용,삼척,1,17006762
133,2022,강원도,홍천군,일반용,홍천,1,29690061
134,2022,강원도,횡성군,일반용,횡성,1,14740873
135,2022,강원도,영월군,일반용,영월,1,9703512
136,2022,강원도,평창군,일반용,평창,1,31554368
137,2022,강원도,정선군,일반용,정선,1,24106210
138,2022,강원도,철원군,일반용,철원,1,19745516
139,2022,강원도,화천군,일반용,화천,1,14745885
140,2022,강원도,양구군,일반용,양,1,9969868
141,2022,강원도,인제군,일반용,인제,1,18252877
142,2022,강원도,고성군,일반용,고성,1,17163110
143,2022,강원도,양양군,일반용,양양,1,16233564
144,2018,강원도,춘천시,일반용,춘천,1,75651946
145,2018,강원도,원주시,일반용,원주,1,86018578
146,2018,강원도,강릉시,일반용,강릉,1,56863381
147,2018,강원도,동해시,일반용,동해,1,21540022
148,2018,강원도,태백시,일반용,태백,1,9842697
149,2018,강원도,속초시,일반용,속초,1,26092441
150,2018,강원도,삼척시,일반용,삼척,1,17069898
151,2018,강원도,홍천군,일반용,홍천,1,26975054
152,2018,강원도,횡성군,일반용,횡성,1,13732046
153,2018,강원도,영월군,일반용,영월,1,8526956
154,2018,강원도,평창군,일반용,평창,1,35708422
155,2018,강원도,정선군,일반용,정선,1,27801959
156,2018,강원도,철원군,일반용,철원,1,18427676
157,2018,강원도,화천군,일반용,화천,1,13644410
158,2018,강원도,양구군,일반용,양,1,9971145
159,2018,강원도,인제군,일반용,인제,1,15967405
160,2018,강원도,고성군,일반용,고성,1,12961681
161,2018,강원도,양양군,일반용,양양,1,13220697
162,2024,강원도,춘천시,일반용,춘천,1,88711894
163,2024,강원도,원주시,일반용,원주,1,94973884
164,2024,강원도,강릉시,일반용,강릉,1,65161684
165,2024,강원도,동해시,일반용,동해,1,23130403
166,2024,강원도,태백시,일반용,태백,1,11992063
167,2024,강원도,속초시,일반용,속초,1,30468567
168,2024,강원도,삼척시,일반용,삼척,1,17969254
169,2024,강원도,홍천군,일반용,홍천,1,30445962
170,2024,강원도,횡성군,일반용,횡성,1,16123699
171,2024,강원도,영월군,일반용,영월,1,10332472
172,2024,강원도,평창군,일반용,평창,1,34179348
173,2024,강원도,정선군,일반용,정선,1,25885756
174,2024,강원도,철원군,일반용,철원,1,19782324
175,2024,강원도,화천군,일반용,화천,1,14096864
176,2024,강원도,양구군,일반용,양,1,10301709
177,2024,강원도,인제군,일반용,인제,1,18214980
178,2024,강원도,고성군,일반용,고성,1,18137959
179,2024,강원도,양양군,일반용,양양,1,17343775
180,2017,강원도,춘천시,일반용,춘천,2,68345441
181,2017,강원도,원주시,일반용,원주,2,78499463
182,2017,강원도,강릉시,일반용,강릉,2,50485661
183,2017,강원도,동해시,일반용,동해,2,20002427
184,2017,강원도,태백시,일반용,태백,2,9018072
185,2017,강원도,속초시,일반용,속초,2,23108405
186,2017,강원도,삼척시,일반용,삼척,2,15649880
187,2017,강원도,홍천군,일반용,홍천,2,24473385
188,2017,강원도,횡성군,일반용,횡성,2,12416884
189,2017,강원도,영월군,일반용,영월,2,7911072
190,2017,강원도,평창군,일반용,평창,2,29050282
191,2017,강원도,정선군,일반용,정선,2,21208579
192,2017,강원도,철원군,일반용,철원,2,17577678
193,2017,강원도,화천군,일반용,화천,2,12853502
194,2017,강원도,양구군,일반용,양,2,8973689
195,2017,강원도,인제군,일반용,인제,2,14546994
196,2017,강원도,고성군,일반용,고성,2,11825405
197,2017,강원도,양양군,일반용,양양,2,11078230
198,2021,강원도,춘천시,일반용,춘천,2,77470979
199,2021,강원도,원주시,일반용,원주,2,80439870
200,2021,강원도,강릉시,일반용,강릉,2,56784869
201,2021,강원도,동해시,일반용,동해,2,19266404
202,2021,강원도,태백시,일반용,태백,2,9942908
203,2021,강원도,속초시,일반용,속초,2,25260213
