,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,강원도,춘천시,주택용,춘천,1,34290924
1,2017,강원도,원주시,주택용,원주,1,41633547
2,2017,강원도,강릉시,주택용,강릉,1,25921869
3,2017,강원도,동해시,주택용,동해,1,10864189
4,2017,강원도,태백시,주택용,태백,1,5412727
5,2017,강원도,속초시,주택용,속초,1,10010004
6,2017,강원도,삼척시,주택용,삼척,1,7929044
7,2017,강원도,홍천군,주택용,홍천,1,8069182
8,2017,강원도,횡성군,주택용,횡성,1,5044909
9,2017,강원도,영월군,주택용,영월,1,4361029
10,2017,강원도,평창군,주택용,평창,1,5530856
11,2017,강원도,정선군,주택용,정선,1,4526651
12,2017,강원도,철원군,주택용,철원,1,4969603
13,2017,강원도,화천군,주택용,화천,1,2494978
14,2017,강원도,양구군,주택용,양,1,2382495
15,2017,강원도,인제군,주택용,인제,1,3652471
16,2017,강원도,고성군,주택용,고성,1,3141535
17,2017,강원도,양양군,주택용,양양,1,3268118
18,2021,강원도,춘천시,주택용,춘천,1,41632748
19,2021,강원도,원주시,주택용,원주,1,53299797
20,2021,강원도,강릉시,주택용,강릉,1,31384638
21,2021,강원도,동해시,주택용,동해,1,13038619
22,2021,강원도,태백시,주택용,태백,1,6042703
23,2021,강원도,속초시,주택용,속초,1,12727936
24,2021,강원도,삼척시,주택용,삼척,1,9118077
25,2021,강원도,홍천군,주택용,홍천,1,9804910
26,2021,강원도,횡성군,주택용,횡성,1,6901858
27,2021,강원도,영월군,주택용,영월,1,5480201
28,2021,강원도,평창군,주택용,평창,1,7068578
29,2021,강원도,정선군,주택용,정선,1,5446184
30,2021,강원도,철원군,주택용,철원,1,5968075
31,2021,강원도,화천군,주택용,화천,1,3257383
32,2021,강원도,양구군,주택용,양,1,2952918
33,2021,강원도,인제군,주택용,인제,1,4753478
34,2021,강원도,고성군,주택용,고성,1,3913548
35,2021,강원도,양양군,주택용,양양,1,4454544
36,2015,강원도,춘천시,주택용,춘천,1,35114542
37,2015,강원도,원주시,주택용,원주,1,41213675
38,2015,강원도,강릉시,주택용,강릉,1,26151550
39,2015,강원도,동해시,주택용,동해,1,11139908
40,2015,강원도,태백시,주택용,태백,1,5631705
41,2015,강원도,속초시,주택용,속초,1,10148684
42,2015,강원도,삼척시,주택용,삼척,1,8231813
43,2015,강원도,홍천군,주택용,홍천,1,7945734
44,2015,강원도,횡성군,주택용,횡성,1,5083127
45,2015,강원도,영월군,주택용,영월,1,4435828
46,2015,강원도,평창군,주택용,평창,1,5514037
47,2015,강원도,정선군,주택용,정선,1,4620256
48,2015,강원도,철원군,주택용,철원,1,5057374
49,2015,강원도,화천군,주택용,화천,1,2562412
50,2015,강원도,양구군,주택용,양,1,2477217
51,2015,강원도,인제군,주택용,인제,1,3771222
52,2015,강원도,고성군,주택용,고성,1,3142438
53,2015,강원도,양양군,주택용,양양,1,3251533
54,2019,강원도,춘천시,주택용,춘천,1,36864811
55,2019,강원도,원주시,주택용,원주,1,47630176
56,2019,강원도,강릉시,주택용,강릉,1,28090987
57,2019,강원도,동해시,주택용,동해,1,11419659
58,2019,강원도,태백시,주택용,태백,1,5673173
59,2019,강원도,속초시,주택용,속초,1,10886090
60,2019,강원도,삼척시,주택용,삼척,1,8488824
61,2019,강원도,홍천군,주택용,홍천,1,8664375
62,2019,강원도,횡성군,주택용,횡성,1,5793910
63,2019,강원도,영월군,주택용,영월,1,4814314
64,2019,강원도,평창군,주택용,평창,1,6247576
65,2019,강원도,정선군,주택용,정선,1,4878619
66,2019,강원도,철원군,주택용,철원,1,5261519
67,2019,강원도,화천군,주택용,화천,1,2830380
