,지점,지점명,일시,평균기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),일조율(%),최심적설(cm),평균지면온도(°C),years,month
0,90,속초,2015-01,1.8,1019.8,1022.1,3.7,52.0,8.7,2.2,60.79,3.0,1.2,2015,1
1,90,속초,2015-02,2.4,1018.0,1020.2,4.4,59.0,32.1,2.5,62.81,8.7,2.3,2015,2
2,90,속초,2015-03,6.6,1017.0,1019.2,5.2,52.0,8.0,2.5,74.49,0.0,8.5,2015,3
3,90,속초,2015-04,11.1,1014.0,1016.2,8.1,69.0,74.2,2.5,46.87,0.0,12.8,2015,4
4,90,속초,2015-05,17.8,1005.8,1007.9,11.5,61.0,9.2,2.4,67.6,0.0,23.7,2015,5
5,90,속초,2015-06,19.5,1005.6,1007.7,18.3,83.0,127.7,2.1,43.1,0.0,24.9,2015,6
6,90,속초,2015-07,22.7,1005.3,1007.4,23.1,85.0,163.1,1.9,41.94,0.0,24.8,2015,7
7,90,속초,2015-08,24.2,1006.3,1008.4,25.1,84.0,198.6,1.8,52.83,0.0,26.5,2015,8
8,90,속초,2015-09,19.1,1012.8,1015.0,17.7,80.0,13.5,1.8,58.59,0.0,23.1,2015,9
9,90,속초,2015-10,14.7,1014.9,1017.0,10.0,58.0,27.4,2.0,69.16,0.0,17.0,2015,10
10,90,속초,2015-11,8.4,1021.5,1023.8,8.4,74.0,463.5,2.0,32.4,0.0,9.4,2015,11
11,90,속초,2015-12,3.0,1021.1,1023.4,4.3,53.0,1.7,1.8,55.65,0.0,2.9,2015,12
12,90,속초,2016-01,-1.2,1019.7,1022.0,2.6,43.0,6.6,2.4,69.39,0.0,-0.4,2016,1
13,90,속초,2016-02,0.8,1019.7,1022.0,3.6,55.0,38.3,2.1,63.23,0.0,1.1,2016,2
14,90,속초,2016-03,7.0,1017.9,1020.2,5.6,58.0,31.8,1.9,56.44,0.0,7.2,2016,3
15,90,속초,2016-04,12.6,1010.6,1012.8,9.1,66.0,77.5,2.3,56.22,0.0,14.5,2016,4
16,90,속초,2016-05,17.2,1008.1,1010.2,12.5,67.0,35.7,2.2,59.06,0.0,21.2,2016,5
17,90,속초,2016-06,20.6,1005.5,1007.6,19.4,82.0,62.2,1.8,39.54,0.0,24.9,2016,6
18,90,속초,2016-07,22.9,1006.2,1008.3,24.9,90.0,477.8,1.3,26.47,0.0,25.1,2016,7
19,90,속초,2016-08,25.5,1004.0,1006.0,26.9,82.0,186.9,1.6,52.3,0.0,27.8,2016,8
