,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,대전광역시,동구,합 계,동,1,86569098
1,2017,대전광역시,중구,합 계,중,1,94753039
2,2017,대전광역시,서구,합 계,서,1,168864617
3,2017,대전광역시,대덕구,합 계,대덕,1,241275329
4,2017,대전광역시,유성구,합 계,유성,1,257067038
5,2017,충청북도,충주시,합 계,충주,1,217342231
6,2017,충청북도,제천시,합 계,제천,1,142578177
7,2017,충청북도,보은군,합 계,보은,1,33418461
8,2017,충청북도,옥천군,합 계,옥천,1,60031043
9,2017,충청북도,영동군,합 계,영동,1,41506494
10,2017,충청북도,진천군,합 계,진천,1,201683203
11,2017,충청북도,괴산군,합 계,괴산,1,50273131
12,2017,충청북도,음성군,합 계,음성,1,258152867
13,2017,충청북도,단양군,합 계,단양,1,163047377
14,2017,충청북도,청주시,합 계,청주,1,996506187
15,2017,충청북도,증평군,합 계,증평,1,45457949
16,2017,충청남도,아산시,합 계,아산,1,1089765232
17,2017,충청남도,보령시,합 계,보령,1,123940985
18,2017,충청남도,공주시,합 계,공주,1,105359110
19,2017,충청남도,서산시,합 계,서산,1,624549634
20,2017,충청남도,천안시,합 계,천안,1,682953313
21,2017,충청남도,금산군,합 계,금산,1,90742242
22,2017,충청남도,연기군,합 계,연기,1,1389
23,2017,충청남도,계룡시,합 계,계룡,1,22292153
24,2017,충청남도,논산시,합 계,논산,1,131472375
25,2017,충청남도,부여군,합 계,부여,1,63524138
26,2017,충청남도,서천군,합 계,서천,1,119996554
27,2017,충청남도,청양군,합 계,청양,1,30581180
28,2017,충청남도,홍성군,합 계,홍성,1,84865709
29,2017,충청남도,예산군,합 계,예산,1,102499262
30,2017,충청남도,당진시,합 계,당진,1,1009774890
31,2017,충청남도,태안군,합 계,태안,1,80347322
32,2017,세종특별자치시,세종시,합 계,세종,1,256177532
33,2021,대전광역시,동구,합 계,동,1,94286166
34,2021,대전광역시,중구,합 계,중,1,96063636
35,2021,대전광역시,서구,합 계,서,1,183977258
36,2021,대전광역시,대덕구,합 계,대덕,1,249018574
37,2021,대전광역시,유성구,합 계,유성,1,289458042
38,2021,충청북도,충주시,합 계,충주,1,262903012
39,2021,충청북도,제천시,합 계,제천,1,155749400
40,2021,충청북도,보은군,합 계,보은,1,43266478
41,2021,충청북도,옥천군,합 계,옥천,1,65396209
42,2021,충청북도,영동군,합 계,영동,1,46277020
43,2021,충청북도,진천군,합 계,진천,1,262821401
44,2021,충청북도,괴산군,합 계,괴산,1,60509426
45,2021,충청북도,음성군,합 계,음성,1,305539008
46,2021,충청북도,단양군,합 계,단양,1,141444715
47,2021,충청북도,청주시,합 계,청주,1,1197785973
48,2021,충청북도,증평군,합 계,증평,1,54716545
49,2021,충청남도,아산시,합 계,아산,1,1278242372
50,2021,충청남도,보령시,합 계,보령,1,122883613
51,2021,충청남도,공주시,합 계,공주,1,122965304
52,2021,충청남도,서산시,합 계,서산,1,739120869
53,2021,충청남도,천안시,합 계,천안,1,752792290
54,2021,충청남도,금산군,합 계,금산,1,97810059
55,2021,충청남도,계룡시,합 계,계룡,1,26017583
56,2021,충청남도,논산시,합 계,논산,1,147266888
57,2021,충청남도,부여군,합 계,부여,1,73769304
58,2021,충청남도,서천군,합 계,서천,1,129024475
59,2021,충청남도,청양군,합 계,청양,1,36366071
60,2021,충청남도,홍성군,합 계,홍성,1,99963631
61,2021,충청남도,예산군,합 계,예산,1,123367334
62,2021,충청남도,당진시,합 계,당진,1,617971467
63,2021,충청남도,태안군,합 계,태안,1,66634947
64,2021,세종특별자치시,세종시,합 계,세종,1,334175873
65,2015,대전광역시,동구,합 계,동,1,93360458
66,2015,대전광역시,중구,합 계,중,1,99174834
67,2015,대전광역시,서구,합 계,서,1,177443507
68,2015,대전광역시,대덕구,합 계,대덕,1,251591502
69,2015,대전광역시,유성구,합 계,유성,1,253947059
70,2015,충청북도,충주시,합 계,충주,1,221971909
71,2015,충청북도,제천시,합 계,제천,1,137540962
72,2015,충청북도,보은군,합 계,보은,1,34263241
73,2015,충청북도,옥천군,합 계,옥천,1,61704447
74,2015,충청북도,영동군,합 계,영동,1,44442492
75,2015,충청북도,진천군,합 계,진천,1,182503684
76,2015,충청북도,괴산군,합 계,괴산,1,50496708
77,2015,충청북도,음성군,합 계,음성,1,242426759
78,2015,충청북도,단양군,합 계,단양,1,124722538
79,2015,충청북도,청주시,합 계,청주,1,966776605
80,2015,충청북도,증평군,합 계,증평,1,49866050
81,2015,충청남도,아산시,합 계,아산,1,1073571973
82,2015,충청남도,보령시,합 계,보령,1,102755927
83,2015,충청남도,공주시,합 계,공주,1,106362726
84,2015,충청남도,서산시,합 계,서산,1,649500659
85,2015,충청남도,천안시,합 계,천안,1,706329099
86,2015,충청남도,금산군,합 계,금산,1,94713477
87,2015,충청남도,연기군,합 계,연기,1,1467
88,2015,충청남도,계룡시,합 계,계룡,1,22754220
89,2015,충청남도,논산시,합 계,논산,1,131210594
90,2015,충청남도,부여군,합 계,부여,1,66228854
91,2015,충청남도,서천군,합 계,서천,1,126234184
92,2015,충청남도,청양군,합 계,청양,1,30347335
93,2015,충청남도,홍성군,합 계,홍성,1,83759481
94,2015,충청남도,예산군,합 계,예산,1,94799560
95,2015,충청남도,당진시,합 계,당진,1,981855863
96,2015,충청남도,태안군,합 계,태안,1,56831996
97,2015,세종특별자치시,세종시,합 계,세종,1,238757732
98,2019,대전광역시,동구,합 계,동,1,92218442
99,2019,대전광역시,중구,합 계,중,1,96932499
100,2019,대전광역시,서구,합 계,서,1,180457774
101,2019,대전광역시,대덕구,합 계,대덕,1,245997645
102,2019,대전광역시,유성구,합 계,유성,1,268983545
103,2019,충청북도,충주시,합 계,충주,1,246341764
104,2019,충청북도,제천시,합 계,제천,1,142193903
105,2019,충청북도,보은군,합 계,보은,1,39257723
106,2019,충청북도,옥천군,합 계,옥천,1,64580861
107,2019,충청북도,영동군,합 계,영동,1,45450851
