,years,시도,시군구,계약종별,지점명,month,전력량
0,2017,강원도,춘천시,합 계,춘천,1,166196000
1,2017,강원도,원주시,합 계,원주,1,241954655
2,2017,강원도,강릉시,합 계,강릉,1,183639452
3,2017,강원도,동해시,합 계,동해,1,228309916
4,2017,강원도,태백시,합 계,태백,1,31585822
5,2017,강원도,속초시,합 계,속초,1,46668946
6,2017,강원도,삼척시,합 계,삼척,1,135730109
7,2017,강원도,홍천군,합 계,홍천,1,74584292
8,2017,강원도,횡성군,합 계,횡성,1,61060916
9,2017,강원도,영월군,합 계,영월,1,85046027
10,2017,강원도,평창군,합 계,평창,1,67292103
11,2017,강원도,정선군,합 계,정선,1,62179929
12,2017,강원도,철원군,합 계,철원,1,51630674
13,2017,강원도,화천군,합 계,화천,1,27043648
14,2017,강원도,양구군,합 계,양,1,23682124
15,2017,강원도,인제군,합 계,인제,1,35624558
16,2017,강원도,고성군,합 계,고성,1,30315523
17,2017,강원도,양양군,합 계,양양,1,27317824
18,2021,강원도,춘천시,합 계,춘천,1,189227326
19,2021,강원도,원주시,합 계,원주,1,265486520
20,2021,강원도,강릉시,합 계,강릉,1,179196237
21,2021,강원도,동해시,합 계,동해,1,175888842
22,2021,강원도,태백시,합 계,태백,1,32850133
23,2021,강원도,속초시,합 계,속초,1,52958894
24,2021,강원도,삼척시,합 계,삼척,1,128676813
25,2021,강원도,홍천군,합 계,홍천,1,82832180
26,2021,강원도,횡성군,합 계,횡성,1,71894627
27,2021,강원도,영월군,합 계,영월,1,90338674
28,2021,강원도,평창군,합 계,평창,1,75727309
29,2021,강원도,정선군,합 계,정선,1,60787663
30,2021,강원도,철원군,합 계,철원,1,60422896
31,2021,강원도,화천군,합 계,화천,1,30812858
32,2021,강원도,양구군,합 계,양,1,24194859
33,2021,강원도,인제군,합 계,인제,1,39740737
34,2021,강원도,고성군,합 계,고성,1,35243392
35,2021,강원도,양양군,합 계,양양,1,33531558
36,2015,강원도,춘천시,합 계,춘천,1,169497790
37,2015,강원도,원주시,합 계,원주,1,241781065
38,2015,강원도,강릉시,합 계,강릉,1,182407990
39,2015,강원도,동해시,합 계,동해,1,257503954
40,2015,강원도,태백시,합 계,태백,1,34152347
41,2015,강원도,속초시,합 계,속초,1,46763124
42,2015,강원도,삼척시,합 계,삼척,1,110454730
43,2015,강원도,홍천군,합 계,홍천,1,79159569
44,2015,강원도,횡성군,합 계,횡성,1,65258908
45,2015,강원도,영월군,합 계,영월,1,85417960
46,2015,강원도,평창군,합 계,평창,1,74392050
47,2015,강원도,정선군,합 계,정선,1,64854831
48,2015,강원도,철원군,합 계,철원,1,55281524
49,2015,강원도,화천군,합 계,화천,1,29290842
50,2015,강원도,양구군,합 계,양,1,25282299
51,2015,강원도,인제군,합 계,인제,1,37457187
52,2015,강원도,고성군,합 계,고성,1,30022592
53,2015,강원도,양양군,합 계,양양,1,28050439
54,2019,강원도,춘천시,합 계,춘천,1,182576706
55,2019,강원도,원주시,합 계,원주,1,259351989
56,2019,강원도,강릉시,합 계,강릉,1,184962779
57,2019,강원도,동해시,합 계,동해,1,204776080
