years,시도,시군구,계약종별,지점명,month,전력량
2017,대전광역시,대전,가로등,동,1,1228797
2017,대전광역시,대전,가로등,중,1,1059014
2017,대전광역시,대전,가로등,서,1,2282042
2017,대전광역시,대전,가로등,대덕,1,1128887
2017,대전광역시,대전,가로등,유성,1,2641545
2017,충청북도,충주시,가로등,충주,1,2834890
2017,충청북도,제천시,가로등,제천,1,1595778
2017,충청북도,보은군,가로등,보은,1,534341
2017,충청북도,옥천군,가로등,옥천,1,878765
2017,충청북도,영동군,가로등,영동,1,738780
2017,충청북도,진천군,가로등,진천,1,1031040
2017,충청북도,괴산군,가로등,괴산,1,1103095
2017,충청북도,음성군,가로등,음성,1,1363206
2017,충청북도,단양군,가로등,단양,1,774482
2017,충청북도,청주시,가로등,청주,1,5365711
2017,충청북도,증평군,가로등,증평,1,378555
2017,충청남도,아산시,가로등,아산,1,1953318
2017,충청남도,보령시,가로등,보령,1,929623
2017,충청남도,공주시,가로등,공주,1,1646329
2017,충청남도,서산시,가로등,서산,1,1263029
2017,충청남도,천안시,가로등,천안,1,2904576
2017,충청남도,금산군,가로등,금산,1,921320
2017,충청남도,계룡시,가로등,계룡,1,258738
2017,충청남도,논산시,가로등,논산,1,898516
2017,충청남도,부여군,가로등,부여,1,936906
2017,충청남도,서천군,가로등,서천,1,808942
2017,충청남도,청양군,가로등,청양,1,646691
2017,충청남도,홍성군,가로등,홍성,1,736294
2017,충청남도,예산군,가로등,예산,1,868370
2017,충청남도,당진시,가로등,당진,1,1275807
2017,충청남도,태안군,가로등,태안,1,679316
2017,세종특별자치시,세종시,가로등,세종,1,2815033
2021,대전광역시,대전,가로등,동,1,1097342
2021,대전광역시,대전,가로등,중,1,941442
2021,대전광역시,대전,가로등,서,1,1879851
2021,대전광역시,대전,가로등,대덕,1,1021161
2021,대전광역시,대전,가로등,유성,1,2472319
2021,충청북도,충주시,가로등,충주,1,2834795
2021,충청북도,제천시,가로등,제천,1,1519123
2021,충청북도,보은군,가로등,보은,1,667149
2021,충청북도,옥천군,가로등,옥천,1,697590
