years,시도,시군구,계약종별,지점명,month,전력량
2017,대전광역시,대전,교육용,동,1,5570901
2017,대전광역시,대전,교육용,중,1,3366323
2017,대전광역시,대전,교육용,서,1,6501392
2017,대전광역시,대전,교육용,대덕,1,2813858
2017,대전광역시,대전,교육용,유성,1,20014243
2017,충청북도,충주시,교육용,충주,1,4061592
2017,충청북도,제천시,교육용,제천,1,3084117
2017,충청북도,보은군,교육용,보은,1,440221
2017,충청북도,옥천군,교육용,옥천,1,569063
2017,충청북도,영동군,교육용,영동,1,972186
2017,충청북도,진천군,교육용,진천,1,1171791
2017,충청북도,괴산군,교육용,괴산,1,2396257
2017,충청북도,음성군,교육용,음성,1,2207205
2017,충청북도,단양군,교육용,단양,1,483098
2017,충청북도,청주시,교육용,청주,1,16676116
2017,충청북도,증평군,교육용,증평,1,598543
2017,충청남도,아산시,교육용,아산,1,9070823
2017,충청남도,보령시,교육용,보령,1,1519283
2017,충청남도,공주시,교육용,공주,1,3609949
2017,충청남도,서산시,교육용,서산,1,2290318
2017,충청남도,천안시,교육용,천안,1,16691939
2017,충청남도,금산군,교육용,금산,1,1462224
2017,충청남도,계룡시,교육용,계룡,1,398578
2017,충청남도,논산시,교육용,논산,1,2690976
2017,충청남도,부여군,교육용,부여,1,1667563
2017,충청남도,서천군,교육용,서천,1,682493
2017,충청남도,청양군,교육용,청양,1,687703
2017,충청남도,홍성군,교육용,홍성,1,2364868
2017,충청남도,예산군,교육용,예산,1,284254
2017,충청남도,당진시,교육용,당진,1,2370756
2017,충청남도,태안군,교육용,태안,1,849694
2017,세종특별자치시,세종시,교육용,세종,1,6981435
2021,대전광역시,대전,교육용,동,1,6261442
2021,대전광역시,대전,교육용,중,1,3928047
2021,대전광역시,대전,교육용,서,1,7786193
2021,대전광역시,대전,교육용,대덕,1,3475248
2021,대전광역시,대전,교육용,유성,1,23854500
2021,충청북도,충주시,교육용,충주,1,5231967
2021,충청북도,제천시,교육용,제천,1,3783942
2021,충청북도,보은군,교육용,보은,1,737106
2021,충청북도,옥천군,교육용,옥천,1,927360
