years,시도,시군구,계약종별,지점명,month,전력량
2017,대전광역시,대전,농사용,동,1,349680
2017,대전광역시,대전,농사용,중,1,191008
2017,대전광역시,대전,농사용,서,1,421343
2017,대전광역시,대전,농사용,대덕,1,249458
2017,대전광역시,대전,농사용,유성,1,1740703
2017,충청북도,충주시,농사용,충주,1,8938043
2017,충청북도,제천시,농사용,제천,1,3649934
2017,충청북도,보은군,농사용,보은,1,3604248
2017,충청북도,옥천군,농사용,옥천,1,3927068
2017,충청북도,영동군,농사용,영동,1,4307695
2017,충청북도,진천군,농사용,진천,1,10515401
2017,충청북도,괴산군,농사용,괴산,1,5531897
2017,충청북도,음성군,농사용,음성,1,13673350
2017,충청북도,단양군,농사용,단양,1,968134
2017,충청북도,청주시,농사용,청주,1,12173886
2017,충청북도,증평군,농사용,증평,1,1143762
2017,충청남도,아산시,농사용,아산,1,9257507
2017,충청남도,보령시,농사용,보령,1,11061980
2017,충청남도,공주시,농사용,공주,1,10442314
2017,충청남도,서산시,농사용,서산,1,8630071
2017,충청남도,천안시,농사용,천안,1,14967377
2017,충청남도,금산군,농사용,금산,1,6592654
2017,충청남도,계룡시,농사용,계룡,1,271327
2017,충청남도,논산시,농사용,논산,1,25992920
2017,충청남도,부여군,농사용,부여,1,18455623
2017,충청남도,서천군,농사용,서천,1,30773112
2017,충청남도,청양군,농사용,청양,1,5144029
2017,충청남도,홍성군,농사용,홍성,1,16647325
2017,충청남도,예산군,농사용,예산,1,11485921
2017,충청남도,당진시,농사용,당진,1,10702245
2017,충청남도,태안군,농사용,태안,1,7993262
2017,세종특별자치시,세종시,농사용,세종,1,6240290
2021,대전광역시,대전,농사용,동,1,450118
2021,대전광역시,대전,농사용,중,1,279849
2021,대전광역시,대전,농사용,서,1,629299
2021,대전광역시,대전,농사용,대덕,1,365858
2021,대전광역시,대전,농사용,유성,1,2381271
2021,충청북도,충주시,농사용,충주,1,13217041
2021,충청북도,제천시,농사용,제천,1,4505645
2021,충청북도,보은군,농사용,보은,1,5187941
2021,충청북도,옥천군,농사용,옥천,1,6142607
2021,충청북도,영동군,농사용,영동,1,5727389
2021,충청북도,진천군,농사용,진천,1,12554623
2021,충청북도,괴산군,농사용,괴산,1,7600924
2021,충청북도,음성군,농사용,음성,1,18958457
2021,충청북도,단양군,농사용,단양,1,1352632
2021,충청북도,청주시,농사용,청주,1,16262107
2021,충청북도,증평군,농사용,증평,1,1559009
2021,충청남도,아산시,농사용,아산,1,12120156
2021,충청남도,보령시,농사용,보령,1,15121679
2021,충청남도,공주시,농사용,공주,1,14060442
2021,충청남도,서산시,농사용,서산,1,11155071
2021,충청남도,천안시,농사용,천안,1,20521575
2021,충청남도,금산군,농사용,금산,1,9248436
2021,충청남도,계룡시,농사용,계룡,1,377959
2021,충청남도,논산시,농사용,논산,1,32155444
2021,충청남도,부여군,농사용,부여,1,27489561
2021,충청남도,서천군,농사용,서천,1,30158998
2021,충청남도,청양군,농사용,청양,1,7895016
2021,충청남도,홍성군,농사용,홍성,1,22701433
2021,충청남도,예산군,농사용,예산,1,15199757
2021,충청남도,당진시,농사용,당진,1,15440556
2021,충청남도,태안군,농사용,태안,1,10915633
2021,세종특별자치시,세종시,농사용,세종,1,8886933
2015,대전광역시,대전,농사용,동,1,287359
2015,대전광역시,대전,농사용,중,1,168212
2015,대전광역시,대전,농사용,서,1,581151
2015,대전광역시,대전,농사용,대덕,1,226296
2015,대전광역시,대전,농사용,유성,1,1873847
2015,충청북도,충주시,농사용,충주,1,8667987
2015,충청북도,제천시,농사용,제천,1,3787011
2015,충청북도,보은군,농사용,보은,1,3622475
2015,충청북도,옥천군,농사용,옥천,1,3550740
2015,충청북도,영동군,농사용,영동,1,3940250
2015,충청북도,진천군,농사용,진천,1,10581395
2015,충청북도,괴산군,농사용,괴산,1,4774294
2015,충청북도,음성군,농사용,음성,1,13036637
2015,충청북도,단양군,농사용,단양,1,867490
2015,충청북도,청주시,농사용,청주,1,11812624
2015,충청북도,증평군,농사용,증평,1,1188855
