years,시도,시군구,계약종별,지점명,month,전력량
2017,대전광역시,대전,산업용,동,1,7658257
2017,대전광역시,대전,산업용,중,1,3498275
2017,대전광역시,대전,산업용,서,1,5140322
2017,대전광역시,대전,산업용,대덕,1,177806870
2017,대전광역시,대전,산업용,유성,1,85612917
2017,충청북도,충주시,산업용,충주,1,100096008
2017,충청북도,제천시,산업용,제천,1,67261004
2017,충청북도,보은군,산업용,보은,1,10288189
2017,충청북도,옥천군,산업용,옥천,1,31348064
2017,충청북도,영동군,산업용,영동,1,12992513
2017,충청북도,진천군,산업용,진천,1,150417057
2017,충청북도,괴산군,산업용,괴산,1,17446100
2017,충청북도,음성군,산업용,음성,1,189412666
2017,충청북도,단양군,산업용,단양,1,139375102
2017,충청북도,청주시,산업용,청주,1,648402454
2017,충청북도,증평군,산업용,증평,1,28867298
2017,충청남도,아산시,산업용,아산,1,950394371
2017,충청남도,보령시,산업용,보령,1,55781837
2017,충청남도,공주시,산업용,공주,1,35096259
2017,충청남도,서산시,산업용,서산,1,537749504
2017,충청남도,천안시,산업용,천안,1,419883038
2017,충청남도,금산군,산업용,금산,1,56256407
2017,충청남도,계룡시,산업용,계룡,1,4383246
2017,충청남도,논산시,산업용,논산,1,48096393
2017,충청남도,부여군,산업용,부여,1,11532997
2017,충청남도,서천군,산업용,서천,1,59978073
2017,충청남도,청양군,산업용,청양,1,9792618
2017,충청남도,홍성군,산업용,홍성,1,21854250
2017,충청남도,예산군,산업용,예산,1,50380199
2017,충청남도,당진시,산업용,당진,1,924021583
2017,충청남도,태안군,산업용,태안,1,32393589
2017,세종특별자치시,세종시,산업용,세종,1,144986473
2021,대전광역시,대전,산업용,동,1,8821129
2021,대전광역시,대전,산업용,중,1,2984768
2021,대전광역시,대전,산업용,서,1,5032536
2021,대전광역시,대전,산업용,대덕,1,181289908
2021,대전광역시,대전,산업용,유성,1,84263127
2021,충청북도,충주시,산업용,충주,1,129413430
2021,충청북도,제천시,산업용,제천,1,73854673
2021,충청북도,보은군,산업용,보은,1,15473233
2021,충청북도,옥천군,산업용,옥천,1,31460406
2021,충청북도,영동군,산업용,영동,1,14144967
2021,충청북도,진천군,산업용,진천,1,198287492
2021,충청북도,괴산군,산업용,괴산,1,19883609
2021,충청북도,음성군,산업용,음성,1,222216066
2021,충청북도,단양군,산업용,단양,1,115972841
2021,충청북도,청주시,산업용,청주,1,797970698
2021,충청북도,증평군,산업용,증평,1,35060469
2021,충청남도,아산시,산업용,아산,1,1117652375
2021,충청남도,보령시,산업용,보령,1,45834435
2021,충청남도,공주시,산업용,공주,1,44165926
2021,충청남도,서산시,산업용,서산,1,637313573
2021,충청남도,천안시,산업용,천안,1,449590423
2021,충청남도,금산군,산업용,금산,1,60122431
2021,충청남도,계룡시,산업용,계룡,1,5220327
2021,충청남도,논산시,산업용,논산,1,52070092
2021,충청남도,부여군,산업용,부여,1,12902579
2021,충청남도,서천군,산업용,서천,1,68317414
2021,충청남도,청양군,산업용,청양,1,11441728
2021,충청남도,홍성군,산업용,홍성,1,25345711
2021,충청남도,예산군,산업용,예산,1,63389285
2021,충청남도,당진시,산업용,당진,1,517420765
2021,충청남도,태안군,산업용,태안,1,11845348
2021,세종특별자치시,세종시,산업용,세종,1,170948117
2015,대전광역시,대전,산업용,동,1,7488964
2015,대전광역시,대전,산업용,중,1,3380171
2015,대전광역시,대전,산업용,서,1,4872474
2015,대전광역시,대전,산업용,대덕,1,185671484
2015,대전광역시,대전,산업용,유성,1,85067400
2015,충청북도,충주시,산업용,충주,1,99166178
2015,충청북도,제천시,산업용,제천,1,57202708
2015,충청북도,보은군,산업용,보은,1,9304991
2015,충청북도,옥천군,산업용,옥천,1,31513786
2015,충청북도,영동군,산업용,영동,1,14248671
2015,충청북도,진천군,산업용,진천,1,131907636
2015,충청북도,괴산군,산업용,괴산,1,16482462
