years,시도,시군구,계약종별,지점명,month,전력량
2017,대전광역시,대전,심 야,동,1,8817698
2017,대전광역시,대전,심 야,중,1,9389529
2017,대전광역시,대전,심 야,서,1,7834228
2017,대전광역시,대전,심 야,대덕,1,4588031
2017,대전광역시,대전,심 야,유성,1,5273901
2017,충청북도,충주시,심 야,충주,1,31847381
2017,충청북도,제천시,심 야,제천,1,23906201
2017,충청북도,보은군,심 야,보은,1,8104774
2017,충청북도,옥천군,심 야,옥천,1,8468298
2017,충청북도,영동군,심 야,영동,1,9236770
2017,충청북도,진천군,심 야,진천,1,11309380
2017,충청북도,괴산군,심 야,괴산,1,10684807
2017,충청북도,음성군,심 야,음성,1,17020288
2017,충청북도,단양군,심 야,단양,1,9709878
2017,충청북도,청주시,심 야,청주,1,62979788
2017,충청북도,증평군,심 야,증평,1,3552097
2017,충청남도,아산시,심 야,아산,1,25609199
2017,충청남도,보령시,심 야,보령,1,18218972
2017,충청남도,공주시,심 야,공주,1,17129022
2017,충청남도,서산시,심 야,서산,1,18027698
2017,충청남도,천안시,심 야,천안,1,32525674
2017,충청남도,금산군,심 야,금산,1,9099715
2017,충청남도,계룡시,심 야,계룡,1,959186
2017,충청남도,논산시,심 야,논산,1,16263880
2017,충청남도,부여군,심 야,부여,1,12955555
2017,충청남도,서천군,심 야,서천,1,10250729
2017,충청남도,청양군,심 야,청양,1,5436117
2017,충청남도,홍성군,심 야,홍성,1,12151283
2017,충청남도,예산군,심 야,예산,1,13714193
2017,충청남도,당진시,심 야,당진,1,19605571
2017,충청남도,태안군,심 야,태안,1,13701674
2017,세종특별자치시,세종시,심 야,세종,1,14643372
2021,대전광역시,대전,심 야,동,1,7518059
2021,대전광역시,대전,심 야,중,1,6850563
2021,대전광역시,대전,심 야,서,1,6365274
2021,대전광역시,대전,심 야,대덕,1,3204489
2021,대전광역시,대전,심 야,유성,1,4660571
2021,충청북도,충주시,심 야,충주,1,29684800
2021,충청북도,제천시,심 야,제천,1,23822492
2021,충청북도,보은군,심 야,보은,1,7977267
2021,충청북도,옥천군,심 야,옥천,1,8306732
2021,충청북도,영동군,심 야,영동,1,9291895
2021,충청북도,진천군,심 야,진천,1,10899621
2021,충청북도,괴산군,심 야,괴산,1,10832757
2021,충청북도,음성군,심 야,음성,1,16488349
2021,충청북도,단양군,심 야,단양,1,9841310
2021,충청북도,청주시,심 야,청주,1,60687671
2021,충청북도,증평군,심 야,증평,1,3343555
2021,충청남도,아산시,심 야,아산,1,24256833
2021,충청남도,보령시,심 야,보령,1,16914951
2021,충청남도,공주시,심 야,공주,1,15429324
2021,충청남도,서산시,심 야,서산,1,17090528
2021,충청남도,천안시,심 야,천안,1,29051243
2021,충청남도,금산군,심 야,금산,1,8072944
2021,충청남도,계룡시,심 야,계룡,1,768127
2021,충청남도,논산시,심 야,논산,1,15167695
2021,충청남도,부여군,심 야,부여,1,10252845
2021,충청남도,서천군,심 야,서천,1,9565986
2021,충청남도,청양군,심 야,청양,1,5234972
2021,충청남도,홍성군,심 야,홍성,1,11524097
2021,충청남도,예산군,심 야,예산,1,12388655
2021,충청남도,당진시,심 야,당진,1,18897359
2021,충청남도,태안군,심 야,태안,1,12523481
2021,세종특별자치시,세종시,심 야,세종,1,13388874
2015,대전광역시,대전,심 야,동,1,11865361
2015,대전광역시,대전,심 야,중,1,11609415
2015,대전광역시,대전,심 야,서,1,10276098
2015,대전광역시,대전,심 야,대덕,1,6195188
2015,대전광역시,대전,심 야,유성,1,6904619
2015,충청북도,충주시,심 야,충주,1,38397673
2015,충청북도,제천시,심 야,제천,1,28361767
2015,충청북도,보은군,심 야,보은,1,9631812
2015,충청북도,옥천군,심 야,옥천,1,10267370
2015,충청북도,영동군,심 야,영동,1,10889316
2015,충청북도,진천군,심 야,진천,1,13912258
2015,충청북도,괴산군,심 야,괴산,1,12664203
2015,충청북도,음성군,심 야,음성,1,20643604
2015,충청북도,단양군,심 야,단양,1,11671783
2015,충청북도,청주시,심 야,청주,1,76335347
2015,충청북도,증평군,심 야,증평,1,4492071
2015,충청남도,아산시,심 야,아산,1,31775604
2015,충청남도,보령시,심 야,보령,1,22401820
2015,충청남도,공주시,심 야,공주,1,21162877
2015,충청남도,서산시,심 야,서산,1,21916644
2015,충청남도,천안시,심 야,천안,1,39822692
2015,충청남도,금산군,심 야,금산,1,11056904
2015,충청남도,계룡시,심 야,계룡,1,1121564
2015,충청남도,논산시,심 야,논산,1,19593300
2015,충청남도,부여군,심 야,부여,1,13642591
2015,충청남도,서천군,심 야,서천,1,12455625
2015,충청남도,청양군,심 야,청양,1,6805238
2015,충청남도,홍성군,심 야,홍성,1,14732348
2015,충청남도,예산군,심 야,예산,1,16518101
2015,충청남도,당진시,심 야,당진,1,24170343
2015,충청남도,태안군,심 야,태안,1,17113844
2015,세종특별자치시,세종시,심 야,세종,1,18116830
2019,대전광역시,대전,심 야,동,1,8522143
2019,대전광역시,대전,심 야,중,1,8427058
2019,대전광역시,대전,심 야,서,1,7602121
2019,대전광역시,대전,심 야,대덕,1,4133057
2019,대전광역시,대전,심 야,유성,1,4993859
2019,충청북도,충주시,심 야,충주,1,32349885
2019,충청북도,제천시,심 야,제천,1,24742246
2019,충청북도,보은군,심 야,보은,1,8376998
