years,시도,시군구,계약종별,지점명,month,전력량
2017,대전광역시,대전,일반용,동,1,35532526
2017,대전광역시,대전,일반용,중,1,48313281
2017,대전광역시,대전,일반용,서,1,91489527
2017,대전광역시,대전,일반용,대덕,1,33585870
2017,대전광역시,대전,일반용,유성,1,101224727
2017,충청북도,충주시,일반용,충주,1,45015672
2017,충청북도,제천시,일반용,제천,1,27560427
2017,충청북도,보은군,일반용,보은,1,6806050
2017,충청북도,옥천군,일반용,옥천,1,9333010
2017,충청북도,영동군,일반용,영동,1,7859639
2017,충청북도,진천군,일반용,진천,1,18539827
2017,충청북도,괴산군,일반용,괴산,1,8867199
2017,충청북도,음성군,일반용,음성,1,22944115
2017,충청북도,단양군,일반용,단양,1,8339294
2017,충청북도,청주시,일반용,청주,1,152854269
2017,충청북도,증평군,일반용,증평,1,6632043
2017,충청남도,아산시,일반용,아산,1,57462105
2017,충청남도,보령시,일반용,보령,1,25047249
2017,충청남도,공주시,일반용,공주,1,25426107
2017,충청남도,서산시,일반용,서산,1,36839581
2017,충청남도,천안시,일반용,천안,1,123770597
2017,충청남도,금산군,일반용,금산,1,10457500
2017,충청남도,연기군,일반용,연기,1,1389
2017,충청남도,계룡시,일반용,계룡,1,11076247
2017,충청남도,논산시,일반용,논산,1,23952084
2017,충청남도,부여군,일반용,부여,1,10577193
2017,충청남도,서천군,일반용,서천,1,11354283
2017,충청남도,청양군,일반용,청양,1,5361040
2017,충청남도,홍성군,일반용,홍성,1,18640637
2017,충청남도,예산군,일반용,예산,1,16441934
2017,충청남도,당진시,일반용,당진,1,31205118
2017,충청남도,태안군,일반용,태안,1,17867127
2017,세종특별자치시,세종시,일반용,세종,1,49725675
2021,대전광역시,대전,일반용,동,1,39514712
2021,대전광역시,대전,일반용,중,1,49988325
2021,대전광역시,대전,일반용,서,1,99630054
2021,대전광역시,대전,일반용,대덕,1,37026833
2021,대전광역시,대전,일반용,유성,1,123646507
2021,충청북도,충주시,일반용,충주,1,51626621
2021,충청북도,제천시,일반용,제천,1,29165820
2021,충청북도,보은군,일반용,보은,1,8754690
2021,충청북도,옥천군,일반용,옥천,1,11141709
2021,충청북도,영동군,일반용,영동,1,9049383
2021,충청북도,진천군,일반용,진천,1,25366495
2021,충청북도,괴산군,일반용,괴산,1,12698503
2021,충청북도,음성군,일반용,음성,1,29420803
2021,충청북도,단양군,일반용,단양,1,8584056
2021,충청북도,청주시,일반용,청주,1,177057541
2021,충청북도,증평군,일반용,증평,1,8452988
2021,충청남도,아산시,일반용,아산,1,65253925
2021,충청남도,보령시,일반용,보령,1,28050486
2021,충청남도,공주시,일반용,공주,1,29250244
2021,충청남도,서산시,일반용,서산,1,43252526
2021,충청남도,천안시,일반용,천안,1,139840875
2021,충청남도,금산군,일반용,금산,1,11525520
2021,충청남도,계룡시,일반용,계룡,1,12966817
2021,충청남도,논산시,일반용,논산,1,27184116
2021,충청남도,부여군,일반용,부여,1,11858931
2021,충청남도,서천군,일반용,서천,1,12077702
2021,충청남도,청양군,일반용,청양,1,5980547
2021,충청남도,홍성군,일반용,홍성,1,21967501
2021,충청남도,예산군,일반용,예산,1,18677038
2021,충청남도,당진시,일반용,당진,1,36013970
2021,충청남도,태안군,일반용,태안,1,20949507
2021,세종특별자치시,세종시,일반용,세종,1,74545029
2015,대전광역시,대전,일반용,동,1,37547442
2015,대전광역시,대전,일반용,중,1,49716912
2015,대전광역시,대전,일반용,서,1,94916785
2015,대전광역시,대전,일반용,대덕,1,32986142
2015,대전광역시,대전,일반용,유성,1,98453136
2015,충청북도,충주시,일반용,충주,1,44343943
2015,충청북도,제천시,일반용,제천,1,28234634
2015,충청북도,보은군,일반용,보은,1,6912527
2015,충청북도,옥천군,일반용,옥천,1,9376830
2015,충청북도,영동군,일반용,영동,1,8156283
2015,충청북도,진천군,일반용,진천,1,16026469
2015,충청북도,괴산군,일반용,괴산,1,8593177
2015,충청북도,음성군,일반용,음성,1,21198912
2015,충청북도,단양군,일반용,단양,1,7190706
2015,충청북도,청주시,일반용,청주,1,150081485
2015,충청북도,증평군,일반용,증평,1,6558972
2015,충청남도,아산시,일반용,아산,1,56234900
2015,충청남도,보령시,일반용,보령,1,25042977
2015,충청남도,공주시,일반용,공주,1,24776441
2015,충청남도,서산시,일반용,서산,1,32493114
2015,충청남도,천안시,일반용,천안,1,125379920
2015,충청남도,금산군,일반용,금산,1,10610881
2015,충청남도,연기군,일반용,연기,1,1467
2015,충청남도,계룡시,일반용,계룡,1,11294904
2015,충청남도,논산시,일반용,논산,1,24466528
2015,충청남도,부여군,일반용,부여,1,10886560
2015,충청남도,서천군,일반용,서천,1,11157055
2015,충청남도,청양군,일반용,청양,1,5423072
2015,충청남도,홍성군,일반용,홍성,1,18613972
2015,충청남도,예산군,일반용,예산,1,16187843
2015,충청남도,당진시,일반용,당진,1,32091717
2015,충청남도,태안군,일반용,태안,1,18287302
2015,세종특별자치시,세종시,일반용,세종,1,40245526
2019,대전광역시,대전,일반용,동,1,38604146
2019,대전광역시,대전,일반용,중,1,50703783
2019,대전광역시,대전,일반용,서,1,99485627
2019,대전광역시,대전,일반용,대덕,1,36212538
2019,대전광역시,대전,일반용,유성,1,112794581
2019,충청북도,충주시,일반용,충주,1,50789399
2019,충청북도,제천시,일반용,제천,1,28931998
2019,충청북도,보은군,일반용,보은,1,8103579
2019,충청북도,옥천군,일반용,옥천,1,10716659
2019,충청북도,영동군,일반용,영동,1,9004956
2019,충청북도,진천군,일반용,진천,1,22554681
2019,충청북도,괴산군,일반용,괴산,1,11543345
2019,충청북도,음성군,일반용,음성,1,27306162
2019,충청북도,단양군,일반용,단양,1,8298354
2019,충청북도,청주시,일반용,청주,1,173028481
2019,충청북도,증평군,일반용,증평,1,7916785
2019,충청남도,아산시,일반용,아산,1,62208517
2019,충청남도,보령시,일반용,보령,1,28370438
2019,충청남도,공주시,일반용,공주,1,27993333
2019,충청남도,서산시,일반용,서산,1,41680113
2019,충청남도,천안시,일반용,천안,1,138431684
2019,충청남도,금산군,일반용,금산,1,11417882
2019,충청남도,계룡시,일반용,계룡,1,11899097
2019,충청남도,논산시,일반용,논산,1,25402282
2019,충청남도,부여군,일반용,부여,1,11652092
2019,충청남도,서천군,일반용,서천,1,13439825
2019,충청남도,청양군,일반용,청양,1,5768108
2019,충청남도,홍성군,일반용,홍성,1,21222477
2019,충청남도,예산군,일반용,예산,1,18315318
2019,충청남도,당진시,일반용,당진,1,34266513
2019,충청남도,태안군,일반용,태안,1,19521821
2019,세종특별자치시,세종시,일반용,세종,1,63489821
2023,대전광역시,대전,일반용,동,1,42420336
2023,대전광역시,대전,일반용,중,1,52683514
2023,대전광역시,대전,일반용,서,1,107965107
2023,대전광역시,대전,일반용,대덕,1,41170706
2023,대전광역시,대전,일반용,유성,1,142217782
2023,충청북도,충주시,일반용,충주,1,59985669
2023,충청북도,제천시,일반용,제천,1,36022029
2023,충청북도,보은군,일반용,보은,1,9439148
2023,충청북도,옥천군,일반용,옥천,1,13279727
2023,충청북도,영동군,일반용,영동,1,10310093
2023,충청북도,진천군,일반용,진천,1,31077525
2023,충청북도,괴산군,일반용,괴산,1,13836455
2023,충청북도,음성군,일반용,음성,1,35040835
2023,충청북도,단양군,일반용,단양,1,9824416
2023,충청북도,청주시,일반용,청주,1,207641467
2023,충청북도,증평군,일반용,증평,1,10457615
2023,충청남도,아산시,일반용,아산,1,78467491
2023,충청남도,보령시,일반용,보령,1,30517161
2023,충청남도,공주시,일반용,공주,1,32740500
2023,충청남도,서산시,일반용,서산,1,47095102
2023,충청남도,천안시,일반용,천안,1,166917117
2023,충청남도,금산군,일반용,금산,1,13231707
2023,충청남도,계룡시,일반용,계룡,1,13908634
2023,충청남도,논산시,일반용,논산,1,30908965
2023,충청남도,부여군,일반용,부여,1,13051455
2023,충청남도,서천군,일반용,서천,1,12996233
2023,충청남도,청양군,일반용,청양,1,7329599
2023,충청남도,홍성군,일반용,홍성,1,24562042
2023,충청남도,예산군,일반용,예산,1,22305416
2023,충청남도,당진시,일반용,당진,1,41665983
2023,충청남도,태안군,일반용,태안,1,23409829
2023,세종특별자치시,세종시,일반용,세종,1,87157745
2020,대전광역시,대전,일반용,동,1,37388723
2020,대전광역시,대전,일반용,중,1,48741993
2020,대전광역시,대전,일반용,서,1,96322143
2020,대전광역시,대전,일반용,대덕,1,34274142
2020,대전광역시,대전,일반용,유성,1,111724965
2020,충청북도,충주시,일반용,충주,1,49834903
2020,충청북도,제천시,일반용,제천,1,28559218
2020,충청북도,보은군,일반용,보은,1,7856390
2020,충청북도,옥천군,일반용,옥천,1,10486767
2020,충청북도,영동군,일반용,영동,1,8763214
2020,충청북도,진천군,일반용,진천,1,22348034
2020,충청북도,괴산군,일반용,괴산,1,10762923
2020,충청북도,음성군,일반용,음성,1,26418990
2020,충청북도,단양군,일반용,단양,1,8231982
2020,충청북도,청주시,일반용,청주,1,169672421
2020,충청북도,증평군,일반용,증평,1,7898948
2020,충청남도,아산시,일반용,아산,1,61611490
2020,충청남도,보령시,일반용,보령,1,27142620
2020,충청남도,공주시,일반용,공주,1,27102728
2020,충청남도,서산시,일반용,서산,1,40468042
2020,충청남도,천안시,일반용,천안,1,135411902
2020,충청남도,금산군,일반용,금산,1,10371732
2020,충청남도,계룡시,일반용,계룡,1,11515331
2020,충청남도,논산시,일반용,논산,1,25007702
2020,충청남도,부여군,일반용,부여,1,11103423
2020,충청남도,서천군,일반용,서천,1,12196026
2020,충청남도,청양군,일반용,청양,1,5653173
2020,충청남도,홍성군,일반용,홍성,1,20429096
2020,충청남도,예산군,일반용,예산,1,17385881
2020,충청남도,당진시,일반용,당진,1,33798100
2020,충청남도,태안군,일반용,태안,1,18383491
2020,세종특별자치시,세종시,일반용,세종,1,66137414
2016,대전광역시,대전,일반용,동,1,35210500
2016,대전광역시,대전,일반용,중,1,48508031
2016,대전광역시,대전,일반용,서,1,89090257
2016,대전광역시,대전,일반용,대덕,1,32477808
2016,대전광역시,대전,일반용,유성,1,98542781
2016,충청북도,충주시,일반용,충주,1,42641485
2016,충청북도,제천시,일반용,제천,1,27473073
2016,충청북도,보은군,일반용,보은,1,6220721
2016,충청북도,옥천군,일반용,옥천,1,9004205
2016,충청북도,영동군,일반용,영동,1,7576375
2016,충청북도,진천군,일반용,진천,1,16412883
2016,충청북도,괴산군,일반용,괴산,1,8478522
2016,충청북도,음성군,일반용,음성,1,21513495
2016,충청북도,단양군,일반용,단양,1,8136270
2016,충청북도,청주시,일반용,청주,1,148230003
2016,충청북도,증평군,일반용,증평,1,6095709
2016,충청남도,아산시,일반용,아산,1,56070434
2016,충청남도,보령시,일반용,보령,1,25101835
2016,충청남도,공주시,일반용,공주,1,23827569
2016,충청남도,서산시,일반용,서산,1,32729582
2016,충청남도,천안시,일반용,천안,1,120267939
2016,충청남도,금산군,일반용,금산,1,10085868
2016,충청남도,연기군,일반용,연기,1,1271
2016,충청남도,계룡시,일반용,계룡,1,10983911
2016,충청남도,논산시,일반용,논산,1,22998890
