years,시도,시군구,계약종별,지점명,month,전력량
2017,대전광역시,대전,주택용,동,1,27411239
2017,대전광역시,대전,주택용,중,1,28935609
2017,대전광역시,대전,주택용,서,1,55195763
2017,대전광역시,대전,주택용,대덕,1,21102355
2017,대전광역시,대전,주택용,유성,1,40559002
2017,충청북도,충주시,주택용,충주,1,24548645
2017,충청북도,제천시,주택용,제천,1,15520716
2017,충청북도,보은군,주택용,보은,1,3640638
2017,충청북도,옥천군,주택용,옥천,1,5506775
2017,충청북도,영동군,주택용,영동,1,5398911
2017,충청북도,진천군,주택용,진천,1,8698707
2017,충청북도,괴산군,주택용,괴산,1,4243776
2017,충청북도,음성군,주택용,음성,1,11532037
2017,충청북도,단양군,주택용,단양,1,3397389
2017,충청북도,청주시,주택용,청주,1,98053963
2017,충청북도,증평군,주택용,증평,1,4285651
2017,충청남도,아산시,주택용,아산,1,36017909
2017,충청남도,보령시,주택용,보령,1,11382041
2017,충청남도,공주시,주택용,공주,1,12009130
2017,충청남도,서산시,주택용,서산,1,19749433
2017,충청남도,천안시,주택용,천안,1,72210112
2017,충청남도,금산군,주택용,금산,1,5952422
2017,충청남도,계룡시,주택용,계룡,1,4944831
2017,충청남도,논산시,주택용,논산,1,13577606
2017,충청남도,부여군,주택용,부여,1,7398301
2017,충청남도,서천군,주택용,서천,1,6148922
2017,충청남도,청양군,주택용,청양,1,3512982
2017,충청남도,홍성군,주택용,홍성,1,12471052
2017,충청남도,예산군,주택용,예산,1,9324391
2017,충청남도,당진시,주택용,당진,1,20593810
2017,충청남도,태안군,주택용,태안,1,6862660
2017,세종특별자치시,세종시,주택용,세종,1,30785254
2021,대전광역시,대전,주택용,동,1,30623364
2021,대전광역시,대전,주택용,중,1,31090642
2021,대전광역시,대전,주택용,서,1,62654051
2021,대전광역시,대전,주택용,대덕,1,22635077
2021,대전광역시,대전,주택용,유성,1,48179747
2021,충청북도,충주시,주택용,충주,1,30894358
2021,충청북도,제천시,주택용,제천,1,19097705
2021,충청북도,보은군,주택용,보은,1,4469092
2021,충청북도,옥천군,주택용,옥천,1,6719805
2021,충청북도,영동군,주택용,영동,1,6135644
2021,충청북도,진천군,주택용,진천,1,12879197
2021,충청북도,괴산군,주택용,괴산,1,5197784
