years,시도,시군구,계약종별,지점명,month,전력량
2017,대전광역시,대전,합 계,동,1,86569098
2017,대전광역시,대전,합 계,중,1,94753039
2017,대전광역시,대전,합 계,서,1,168864617
2017,대전광역시,대전,합 계,대덕,1,241275329
2017,대전광역시,대전,합 계,유성,1,257067038
2017,충청북도,충주시,합 계,충주,1,217342231
2017,충청북도,제천시,합 계,제천,1,142578177
2017,충청북도,보은군,합 계,보은,1,33418461
2017,충청북도,옥천군,합 계,옥천,1,60031043
2017,충청북도,영동군,합 계,영동,1,41506494
2017,충청북도,진천군,합 계,진천,1,201683203
2017,충청북도,괴산군,합 계,괴산,1,50273131
2017,충청북도,음성군,합 계,음성,1,258152867
2017,충청북도,단양군,합 계,단양,1,163047377
2017,충청북도,청주시,합 계,청주,1,996506187
2017,충청북도,증평군,합 계,증평,1,45457949
2017,충청남도,아산시,합 계,아산,1,1089765232
2017,충청남도,보령시,합 계,보령,1,123940985
2017,충청남도,공주시,합 계,공주,1,105359110
2017,충청남도,서산시,합 계,서산,1,624549634
2017,충청남도,천안시,합 계,천안,1,682953313
2017,충청남도,금산군,합 계,금산,1,90742242
2017,충청남도,연기군,합 계,연기,1,1389
2017,충청남도,계룡시,합 계,계룡,1,22292153
2017,충청남도,논산시,합 계,논산,1,131472375
2017,충청남도,부여군,합 계,부여,1,63524138
2017,충청남도,서천군,합 계,서천,1,119996554
2017,충청남도,청양군,합 계,청양,1,30581180
2017,충청남도,홍성군,합 계,홍성,1,84865709
2017,충청남도,예산군,합 계,예산,1,102499262
2017,충청남도,당진시,합 계,당진,1,1009774890
2017,충청남도,태안군,합 계,태안,1,80347322
2017,세종특별자치시,세종시,합 계,세종,1,256177532
2021,대전광역시,대전,합 계,동,1,94286166
2021,대전광역시,대전,합 계,중,1,96063636
2021,대전광역시,대전,합 계,서,1,183977258
2021,대전광역시,대전,합 계,대덕,1,249018574
2021,대전광역시,대전,합 계,유성,1,289458042
2021,충청북도,충주시,합 계,충주,1,262903012
2021,충청북도,제천시,합 계,제천,1,155749400
2021,충청북도,보은군,합 계,보은,1,43266478
2021,충청북도,옥천군,합 계,옥천,1,65396209
2021,충청북도,영동군,합 계,영동,1,46277020
2021,충청북도,진천군,합 계,진천,1,262821401
2021,충청북도,괴산군,합 계,괴산,1,60509426
2021,충청북도,음성군,합 계,음성,1,305539008
